
  ///////////////////////////////////////////////////////////////////////////
  | 公司名称:                                                               |
  |                                                                         |
  |                           SATWE 位移输出文件                            |
  |                          SATWE2010_V5.1.3 中文版                        |
  |                         (2020年5月18日18时13分)                         |
  |                            文件名: WDISP.OUT                            |
  |                                                                         |
  |工程名称 :                     设计人 :              计算日期:2020/10/19 |
  |工程代号 :                     校核人 :              计算时间:11:03:27   |
  ///////////////////////////////////////////////////////////////////////////


  所有位移的单位为毫米

  Floor   : 层号
  Tower   : 塔号
  Jmax    : 最大位移对应的节点号
  JmaxD   : 最大层间位移对应的节点号
  Max-(Z) : 节点的最大竖向位移
  h       : 层高
  Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
  Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
  Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
  Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
  Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
  Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
  Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
  DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
  Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
  X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移


  === 工况  1 === X 方向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
    5      1      1579       7.65        7.29       1.05         2900.
                  1579       2.29        2.16       1.06       1/1267.    11.6%       0.75
    4      1      1244       5.36        5.13       1.04         2900.
                  1244       1.99        1.90       1.04       1/1460.    18.3%       0.69
    3      1       927       3.37        3.23       1.04         3000.
                   927       1.65        1.61       1.02       1/1820.    26.9%       0.63
    2      1       626       1.72        1.63       1.06         3000.
                   626       1.20        1.17       1.03       1/2492.    65.1%       0.56
    1      1       282       0.52        0.41       1.00         3100.
                   282       0.52        0.41       1.00       1/5974.    99.9%       0.26
 
   X方向最大层间位移角:               1/1061.(第  9层第 1塔)
   X方向最大位移与层平均位移的比值:        1.14(第 21层第 1塔)
   X方向最大层间位移与平均层间位移的比值:  1.34(第 20层第 1塔)

  === 工况 10 === Y 方向风荷载作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy     Ratio-Dy    Max-Dy/h    DyR/Dy    Ratio_AY
   21      1      6926      43.75       43.63       1.00         3300.
                  6917       2.12        2.11       1.00       1/1557.     4.1%       1.00
   20      1      6674      41.71       41.52       1.00         2900.
                  6674       1.94        1.93       1.00       1/1495.     4.2%       0.80
   19      1      6347      39.77       39.58       1.00         2900.
                  6347       2.03        2.01       1.01       1/1432.     4.7%       0.89
   18      1      6012      37.75       37.57       1.00         2900.
                  6012       2.12        2.11       1.01       1/1366.     4.8%       0.91
   17      1      5682      35.62       35.46       1.00         2900.
                  5682       2.22        2.21       1.01       1/1304.     4.5%       0.91
   16      1      5347      33.40       33.25       1.00         2900.
                  5347       2.32        2.31       1.01       1/1247.     4.1%       0.91
   15      1      5017      31.07       30.94       1.00         2900.
                  5017       2.42        2.41       1.01       1/1198.     3.5%       0.91
   14      1      4682      28.65       28.53       1.00         2900.
                  4682       2.50        2.49       1.01       1/1158.     2.8%       0.90
   13      1      4352      26.15       26.04       1.00         2900.
                  4352       2.57        2.56       1.01       1/1127.     1.9%       0.89
   12      1      4017      23.58       23.49       1.00         2900.
                  4017       2.62        2.61       1.01       1/1106.     0.9%       0.87
   11      1      3687      20.96       20.88       1.00         2900.
                  3687       2.64        2.63       1.00       1/1097.     0.4%       0.86
   10      1      3352      18.31       18.25       1.00         2900.
                  3352       2.63        2.62       1.00       1/1101.     1.5%       0.84
    9      1      3022      15.68       15.63       1.00         2900.
                  3022       2.59        2.58       1.00       1/1119.     3.1%       0.82
    8      1      2687      13.09       13.05       1.00         2900.
                  2687       2.51        2.50       1.00       1/1155.     5.1%       0.80
    7      1      2357      10.58       10.55       1.00         2900.
                  2357       2.38        2.37       1.00       1/1217.     7.5%       0.77
    6      1      2022       8.19        8.17       1.00         2900.
                  2022       2.20        2.20       1.00       1/1316.    11.2%       0.74
    5      1      1692       5.99        5.97       1.00         2900.
                  1692       1.95        1.95       1.00       1/1484.    17.8%       0.69
    4      1      1357       4.04        4.03       1.00         2900.
                  1357       1.61        1.60       1.00       1/1804.    25.6%       0.63
    3      1      1041       2.43        2.42       1.00         3000.
                  1041       1.24        1.23       1.00       1/2422.    30.7%       0.57
    2      1       728       1.19        1.19       1.00         3000.
                   728       0.85        0.85       1.00       1/3509.    61.7%       0.53
    1      1       414       0.34        0.34       1.00         3100.
                   414       0.34        0.34       1.00       1/9157.    99.9%       0.29
 
   Y方向最大层间位移角:               1/1097.(第 11层第 1塔)
   Y方向最大位移与层平均位移的比值:        1.00(第 19层第 1塔)
   Y方向最大层间位移与平均层间位移的比值:  1.01(第 16层第 1塔)

  === 工况 11 === 竖向恒载作用下的楼层最大位移

  Floor  Tower    Jmax       Max-(Z)
   21      1      6947        -1.27
   20      1      6568       -25.86
   19      1      6313       -36.68
   18      1      5978       -37.31
   17      1      5648       -37.79
   16      1      5313       -38.16
   15      1      4983       -38.48
   14      1      4648       -38.71
   13      1      4318       -38.87
   12      1      3983       -38.94
   11      1      3653       -38.96
   10      1      3318       -38.87
    9      1      2988       -38.76
    8      1      2653       -38.55
    7      1      2323       -38.29
    6      1      1988       -37.95
    5      1      1658       -37.55
    4      1      1323       -37.06
    3      1       991       -24.98
    2      1       650        -6.23
    1      1       353       -23.61

  === 工况 12 === 竖向活载作用下的楼层最大位移

  Floor  Tower    Jmax       Max-(Z)
   21      1      6860        -1.97
   20      1      6626        -5.82
   19      1      6313        -4.19
   18      1      5978        -4.19
   17      1      5648        -4.18
   16      1      5313        -4.16
   15      1      4983        -4.13
   14      1      4648        -4.10
   13      1      4318        -4.07
   12      1      3983        -4.03
   11      1      3653        -3.99
   10      1      3318        -3.94
    9      1      2988        -3.90
    8      1      2653        -3.84
    7      1      2323        -3.79
    6      1      1988        -3.72
    5      1      1658        -3.66
    4      1      1323        -3.59
    3      1       991        -5.82
    2      1       650        -1.01
    1      1       353        -3.41

  === 工况 13 === X 方向地震作用规定水平力下的楼层最大位移(强刚模型)          

  Floor  Tower    Jmax     Max-(X)     Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx      Ave-Dx     Ratio-Dx
   21      1      6863      20.66       19.32       1.07         3300.
                  6863       0.93        0.76       1.21
   20      1      6564      19.74       18.55       1.06         2900.
                  6564       0.86        0.71       1.21
   19      1      6234      18.88       17.83       1.06         2900.
                  6234       0.92        0.78       1.17
   18      1      5899      17.96       17.03       1.05         2900.
                  5899       0.97        0.84       1.15
   17      1      5569      16.99       16.18       1.05         2900.
                  5569       1.02        0.90       1.13
   16      1      5234      15.97       15.27       1.05         2900.
                  5234       1.07        0.96       1.12
   15      1      4904      14.90       14.31       1.04         2900.
                  4904       1.11        1.00       1.11
   14      1      4569      13.79       13.30       1.04         2900.
                  4569       1.14        1.05       1.09
   13      1      4239      12.65       12.25       1.03         2900.
                  4239       1.17        1.08       1.08
   12      1      3904      11.47       11.16       1.03         2900.
                  3904       1.20        1.11       1.07
   11      1      3574      10.28       10.04       1.02         2900.
                  3574       1.21        1.13       1.06
   10      1      3239       9.07        8.90       1.02         2900.
                  3239       1.21        1.14       1.05
    9      1      2909       7.86        7.75       1.01         2900.
                  2909       1.20        1.14       1.05
    8      1      2574       6.67        6.60       1.01         2900.
                  2574       1.17        1.13       1.04
    7      1      2244       5.49        5.47       1.00         2900.
                  2244       1.13        1.10       1.03
    6      1      2073       4.37        4.36       1.00         2900.
                  1909       1.07        1.06       1.01
    5      1      1740       3.32        3.31       1.00         2900.
                  1579       0.98        0.98       1.00
    4      1      1408       2.34        2.32       1.01         2900.
                  1408       0.87        0.86       1.01
    3      1      1075       1.47        1.46       1.01         3000.
                  1075       0.75        0.73       1.02
    2      1       626       0.74        0.73       1.01         3000.
                   758       0.54        0.53       1.02
    1      1       282       0.23        0.19       1.00         3100.
                   282       0.23        0.19       1.00
 
   X方向最大位移与层平均位移的比值:        1.07(第 21层第 1塔)
   X方向最大层间位移与平均层间位移的比值:  1.21(第 21层第 1塔)
 
  结构扭转不规则程度分类信息：
  结构类型: 剪力墙结构              
  高度类型: A级高度建筑             
  地震作用下的最大层间位移角: 1/2403.
  结构扭转不规则程度分类: 规则                    

  === 工况 14 === X+偶然偏心地震作用规定水平力下的楼层最大位移(强刚模型)          

  Floor  Tower    Jmax     Max-(X)     Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx      Ave-Dx     Ratio-Dx
   21      1      6863      22.70       19.55       1.16         3300.
                  6863       1.03        0.78       1.31
   20      1      6564      21.67       18.77       1.15         2900.
                  6564       0.96        0.73       1.32
   19      1      6234      20.71       18.02       1.15         2900.
                  6234       1.02        0.80       1.28
   18      1      5899      19.69       17.21       1.14         2900.
                  5899       1.08        0.86       1.25
   17      1      5569      18.61       16.34       1.14         2900.
                  5569       1.13        0.92       1.24
   16      1      5234      17.47       15.42       1.13         2900.
                  5234       1.18        0.97       1.22
   15      1      4904      16.29       14.44       1.13         2900.
                  4904       1.23        1.02       1.20
   14      1      4569      15.07       13.41       1.12         2900.
                  4569       1.26        1.06       1.19
   13      1      4239      13.81       12.35       1.12         2900.
                  4239       1.29        1.10       1.18
   12      1      3904      12.51       11.24       1.11         2900.
                  3904       1.31        1.13       1.17
   11      1      3574      11.20       10.11       1.11         2900.
                  3574       1.33        1.15       1.16
   10      1      3239       9.87        8.96       1.10         2900.
                  3239       1.32        1.15       1.15
    9      1      2909       8.55        7.80       1.10         2900.
                  2909       1.31        1.15       1.14
    8      1      2574       7.24        6.64       1.09         2900.
                  2574       1.28        1.14       1.12
    7      1      2244       5.95        5.50       1.08         2900.
                  2244       1.24        1.11       1.11
    6      1      1909       4.72        4.38       1.08         2900.
                  1909       1.17        1.06       1.10
    5      1      1579       3.55        3.32       1.07         2900.
                  1579       1.07        0.98       1.09
    4      1      1244       2.48        2.33       1.06         2900.
                  1244       0.92        0.87       1.07
    3      1       927       1.56        1.47       1.06         3000.
                   927       0.76        0.73       1.04
    2      1       626       0.79        0.74       1.08         3000.
                   626       0.55        0.53       1.04
    1      1       282       0.24        0.19       1.00         3100.
                   282       0.24        0.19       1.00
 
   X方向最大位移与层平均位移的比值:        1.16(第 21层第 1塔)
   X方向最大层间位移与平均层间位移的比值:  1.32(第 20层第 1塔)
 
  结构扭转不规则程度分类信息：
  结构类型: 剪力墙结构              
  高度类型: A级高度建筑             
  地震作用下的最大层间位移角: 1/2212.
  结构扭转不规则程度分类: 规则                    

  === 工况 15 === X-偶然偏心地震作用规定水平力下的楼层最大位移(强刚模型)          

  Floor  Tower    Jmax     Max-(X)     Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx      Ave-Dx     Ratio-Dx
   21      1      6952      19.54       19.08       1.02         3300.
                  6863       0.82        0.75       1.10
   20      1      6724      18.87       18.34       1.03         2900.
                  6564       0.76        0.70       1.09
   19      1      6395      18.21       17.63       1.03         2900.
                  6234       0.81        0.77       1.06
   18      1      6063      17.48       16.85       1.04         2900.
                  5899       0.86        0.83       1.04
   17      1      5730      16.67       16.02       1.04         2900.
                  5569       0.91        0.89       1.03
   16      1      5398      15.79       15.13       1.04         2900.
                  5234       0.95        0.94       1.01
   15      1      5065      14.85       14.18       1.05         2900.
                  5065       1.00        0.99       1.01
   14      1      4733      13.85       13.19       1.05         2900.
                  4733       1.05        1.03       1.02
   13      1      4400      12.81       12.15       1.05         2900.
                  4400       1.09        1.07       1.02
   12      1      4068      11.71       11.07       1.06         2900.
                  4068       1.13        1.10       1.03
   11      1      3735      10.58        9.97       1.06         2900.
                  3735       1.16        1.12       1.04
   10      1      3403       9.41        8.84       1.06         2900.
                  3403       1.18        1.13       1.04
    9      1      3070       8.23        7.71       1.07         2900.
                  3070       1.19        1.14       1.05
    8      1      2738       7.04        6.57       1.07         2900.
                  2738       1.19        1.12       1.06
    7      1      2405       5.85        5.44       1.07         2900.
                  2405       1.17        1.10       1.06
    6      1      2073       4.68        4.34       1.08         2900.
                  2073       1.13        1.05       1.07
    5      1      1740       3.56        3.29       1.08         2900.
                  1740       1.06        0.98       1.08
    4      1      1408       2.50        2.32       1.08         2900.
                  1408       0.94        0.86       1.09
    3      1      1075       1.56        1.45       1.07         3000.
                  1075       0.80        0.73       1.09
    2      1       758       0.77        0.73       1.05         3000.
                   758       0.57        0.53       1.08
    1      1       282       0.21        0.20       1.00         3100.
                   282       0.21        0.20       1.00
 
   X方向最大位移与层平均位移的比值:        1.08(第  5层第 1塔)
   X方向最大层间位移与平均层间位移的比值:  1.10(第 21层第 1塔)
 
  结构扭转不规则程度分类信息：
  结构类型: 剪力墙结构              
  高度类型: A级高度建筑             
  地震作用下的最大层间位移角: 1/2629.
  结构扭转不规则程度分类: 规则                    

  === 工况 16 === Y 方向地震作用规定水平力下的楼层最大位移(强刚模型)          

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy     Ratio-Dy
   21      1      6926      18.39       18.29       1.01         3300.
                  6917       1.02        1.02       1.00
   20      1      6674      17.43       17.27       1.01         2900.
                  6674       0.93        0.93       1.01
   19      1      6347      16.50       16.34       1.01         2900.
                  6347       0.97        0.96       1.01
   18      1      6012      15.53       15.39       1.01         2900.
                  6012       1.00        0.99       1.01
   17      1      5682      14.54       14.40       1.01         2900.
                  5682       1.02        1.01       1.01
   16      1      5347      13.51       13.38       1.01         2900.
                  5347       1.05        1.04       1.01
   15      1      5017      12.47       12.35       1.01         2900.
                  5017       1.06        1.05       1.01
   14      1      4682      11.40       11.30       1.01         2900.
                  4682       1.07        1.06       1.01
   13      1      4352      10.33       10.24       1.01         2900.
                  4352       1.08        1.07       1.01
   12      1      4017       9.25        9.17       1.01         2900.
                  4017       1.07        1.06       1.01
   11      1      3687       8.18        8.11       1.01         2900.
                  3687       1.06        1.05       1.01
   10      1      3352       7.12        7.05       1.01         2900.
                  3352       1.04        1.03       1.01
    9      1      3022       6.07        6.02       1.01         2900.
                  3022       1.02        1.01       1.01
    8      1      2687       5.05        5.01       1.01         2900.
                  2687       0.98        0.97       1.01
    7      1      2357       4.08        4.04       1.01         2900.
                  2357       0.92        0.91       1.01
    6      1      2022       3.16        3.13       1.01         2900.
                  2022       0.85        0.84       1.01
    5      1      1692       2.31        2.29       1.01         2900.
                  1692       0.75        0.75       1.01
    4      1      1357       1.56        1.54       1.01         2900.
                  1357       0.62        0.61       1.01
    3      1      1041       0.94        0.93       1.01         3000.
                  1041       0.48        0.47       1.01
    2      1       728       0.46        0.46       1.01         3000.
                   728       0.33        0.33       1.01
    1      1       420       0.13        0.13       1.00         3100.
                   420       0.13        0.13       1.00
 
   Y方向最大位移与层平均位移的比值:        1.01(第 17层第 1塔)
   Y方向最大层间位移与平均层间位移的比值:  1.01(第 14层第 1塔)
 
  结构扭转不规则程度分类信息：
  结构类型: 剪力墙结构              
  高度类型: A级高度建筑             
  地震作用下的最大层间位移角: 1/3086.
  结构扭转不规则程度分类: 规则                    

  === 工况 17 === Y+偶然偏心地震作用规定水平力下的楼层最大位移(强刚模型)          

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy     Ratio-Dy
   21      1      6926      20.25       18.30       1.11         3300.
                  6926       1.10        1.02       1.08
   20      1      6674      20.21       17.28       1.17         2900.
                  6674       1.07        0.93       1.15
   19      1      6347      19.14       16.35       1.17         2900.
                  6347       1.11        0.96       1.16
   18      1      6012      18.03       15.39       1.17         2900.
                  6012       1.15        0.99       1.16
   17      1      5682      16.89       14.40       1.17         2900.
                  5682       1.18        1.01       1.16
   16      1      5347      15.71       13.39       1.17         2900.
                  5347       1.20        1.04       1.16
   15      1      5017      14.51       12.35       1.17         2900.
                  5017       1.22        1.05       1.16
   14      1      4682      13.28       11.30       1.18         2900.
                  4682       1.24        1.06       1.17
   13      1      4352      12.04       10.24       1.18         2900.
                  4352       1.24        1.07       1.17
   12      1      4017      10.80        9.17       1.18         2900.
                  4017       1.24        1.06       1.17
   11      1      3687       9.55        8.11       1.18         2900.
                  3687       1.23        1.05       1.17
   10      1      3352       8.32        7.05       1.18         2900.
                  3352       1.21        1.03       1.17
    9      1      3022       7.11        6.02       1.18         2900.
                  3022       1.18        1.01       1.17
    8      1      2687       5.93        5.01       1.18         2900.
                  2687       1.14        0.97       1.18
    7      1      2357       4.79        4.05       1.18         2900.
                  2357       1.08        0.91       1.18
    6      1      2022       3.71        3.13       1.19         2900.
                  2022       1.00        0.84       1.18
    5      1      1692       2.72        2.29       1.19         2900.
                  1692       0.89        0.75       1.19
    4      1      1357       1.83        1.54       1.19         2900.
                  1357       0.73        0.61       1.19
    3      1      1041       1.10        0.93       1.18         3000.
                  1041       0.56        0.47       1.19
    2      1       728       0.54        0.46       1.18         3000.
                   728       0.39        0.33       1.19
    1      1       420       0.15        0.13       1.00         3100.
                   420       0.15        0.13       1.00
 
   Y方向最大位移与层平均位移的比值:        1.19(第  4层第 1塔)
   Y方向最大层间位移与平均层间位移的比值:  1.19(第  3层第 1塔)
 
  结构扭转不规则程度分类信息：
  结构类型: 剪力墙结构              
  高度类型: A级高度建筑             
  地震作用下的最大层间位移角: 1/2654.
  结构扭转不规则程度分类: 规则                    

  === 工况 18 === Y-偶然偏心地震作用规定水平力下的楼层最大位移(强刚模型)          

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy     Ratio-Dy
   21      1      6917      20.04       18.28       1.10         3300.
                  6917       1.11        1.02       1.08
   20      1      6657      19.87       17.27       1.15         2900.
                  6657       1.06        0.93       1.14
   19      1      6330      18.82       16.34       1.15         2900.
                  6330       1.09        0.96       1.14
   18      1      5995      17.73       15.38       1.15         2900.
                  5995       1.13        0.99       1.14
   17      1      5665      16.60       14.39       1.15         2900.
                  5665       1.16        1.01       1.14
   16      1      5330      15.44       13.38       1.15         2900.
                  5330       1.18        1.03       1.14
   15      1      5000      14.26       12.34       1.16         2900.
                  5000       1.20        1.05       1.14
   14      1      4665      13.06       11.29       1.16         2900.
                  4665       1.21        1.06       1.15
   13      1      4335      11.85       10.23       1.16         2900.
                  4335       1.22        1.07       1.15
   12      1      4000      10.62        9.17       1.16         2900.
                  4000       1.22        1.06       1.15
   11      1      3670       9.40        8.10       1.16         2900.
                  3670       1.21        1.05       1.15
   10      1      3335       8.19        7.05       1.16         2900.
                  3335       1.19        1.03       1.15
    9      1      3005       7.00        6.02       1.16         2900.
                  3005       1.16        1.01       1.15
    8      1      2670       5.84        5.01       1.17         2900.
                  2670       1.12        0.97       1.16
    7      1      2340       4.72        4.04       1.17         2900.
                  2340       1.06        0.91       1.16
    6      1      2005       3.66        3.13       1.17         2900.
                  2005       0.98        0.84       1.17
    5      1      1675       2.68        2.29       1.17         2900.
                  1675       0.87        0.75       1.17
    4      1      1340       1.81        1.54       1.17         2900.
                  1340       0.72        0.61       1.17
    3      1      1025       1.09        0.93       1.17         3000.
                  1025       0.55        0.47       1.17
    2      1       713       0.53        0.46       1.17         3000.
                   713       0.38        0.33       1.18
    1      1       414       0.15        0.13       1.00         3100.
                   414       0.15        0.13       1.00
 
   Y方向最大位移与层平均位移的比值:        1.17(第  5层第 1塔)
   Y方向最大层间位移与平均层间位移的比值:  1.18(第  2层第 1塔)
 
  结构扭转不规则程度分类信息：
  结构类型: 剪力墙结构              
  高度类型: A级高度建筑             
  地震作用下的最大层间位移角: 1/2771.
  结构扭转不规则程度分类: 规则                    
