     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况19 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   18     1    18000132     42.45    38.28         4500
               18000015      3.61     3.35       1/1248      3.13%    0.80
   17     1    17000062     38.89    34.98         4500
               17000072      3.50     3.25       1/1285      2.13%    0.79
   16     1    16000134     35.43    31.77         4500
               16000134      3.44     3.18       1/1310      2.34%    0.79
   15     1    15000062     32.03    28.64         4500
               15000062      3.37     3.11       1/1337      2.59%    0.79
   14     1    14000017     28.70    25.57         4500
               14000134      3.29     3.02       1/1369      3.12%    0.79
   13     1    13000062     25.44    22.59         4500
               13000062      3.20     2.93       1/1407      3.97%    0.79
   12     1    12000134     22.26    19.69         4500
               12000134      3.09     2.81       1/1458      4.85%    0.78
   11     1    11000014     19.19    16.90         4500
               11000014      2.95     2.68       1/1524      2.44%    0.76
   10     1    10000055     16.24    14.24         6300
               10000055      4.10     3.68       1/1537     11.68%    0.78
    9     1     9000148     12.15     9.29         6000
                9000158      3.80     2.92       1/1577      6.58%    0.71
    8     1     8000161      8.35     6.41         6000
                8000161      3.48     2.69       1/1722     15.86%    0.72
    7     1     7000169      4.87     3.74         6000
                7000169      2.96     2.28       1/2027     39.11%    0.65
    6     1     6000089      1.75     1.38         5950
                6000089      1.75     1.38       1/3392     99.98%    0.47
    5     1     5000587      0.03     0.02         6000
                5000587      0.03     0.02       1/9999      0.00%    0.00
    4     1     4000202      0.01     0.00         6800
                4000202      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000439      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000285      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000351      0.00     0.00         3600
                1000351      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/645  (53层1塔)

  === 工况21 === Y 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   54     1    54000014    214.79   213.67         4000
               54000014      4.52     4.48       1/ 884     22.73%    1.00
   53     1    53000072    215.37   211.14         4500
               53000071     10.92     6.20       1/ 412     18.92%    0.94
   52     1    52000068    206.86   203.79         4500
               52000068      5.05     5.03       1/ 890      0.49%    0.74
   51     1    51000087    201.93   198.92         4500
               51000081      5.05     5.00       1/ 891      1.72%    0.77
   50     1    50000083    197.02   194.07         4500
               50000083      5.14     5.09       1/ 875      1.47%    0.78
   49     1    49000083    192.03   189.16         4500
               49000083      5.22     5.16       1/ 862      1.39%    0.85
   48     1    48000073    186.97   184.18         4500
               48000073      5.30     5.24       1/ 849      1.14%    0.86
   47     1    47000091    181.85   179.14         4500
               47000091      5.38     5.30       1/ 837      1.01%    0.85
   46     1    46000073    176.66   174.03         4500
               46000073      5.47     5.35       1/ 822      0.88%    0.85
   45     1    45000085    171.38   168.87         5100
               45000093      6.21     6.01       1/ 821      0.19%    0.83
   44     1    44000095    165.39   163.05         4500
               44000087      5.49     5.31       1/ 820      0.02%    0.83
   43     1    43000070    160.08   157.90         4500
               43000070      5.48     5.31       1/ 822      0.77%    0.83
   42     1    42000074    154.77   152.74         4500
               42000074      5.52     5.35       1/ 815      0.03%    0.84
   41     1    41000076    149.42   147.54         4500
               41000070      5.52     5.35       1/ 815      0.29%    0.84
   40     1    40000094    144.06   142.33         4500
               40000086      5.47     5.33       1/ 822      0.04%    0.83
   39     1    39000073    138.74   137.14         4500
               39000081      5.48     5.34       1/ 821      0.03%    0.83
   38     1    38000094    133.40   131.94         4500
               38000094      5.50     5.34       1/ 819      0.28%    0.83
   37     1    37000081    128.04   126.74         4500
               37000073      5.51     5.32       1/ 817      0.52%    0.83
   36     1    36000084    122.67   121.54         5100
               36000084      6.28     6.00       1/ 812      0.71%    0.83
   35     1    35000094    116.54   115.67         4500
               35000094      5.48     5.25       1/ 822      0.67%    0.82
   34     1    34000153    111.18   110.52         4500
               34000153      5.44     5.22       1/ 827      0.52%    0.82
   33     1    33000093    105.85   105.41         4500
               33000093      5.40     5.19       1/ 833      1.09%    0.82
   32     1    32000161    100.55   100.32         4500
               32000151      5.35     5.13       1/ 842      1.09%    0.82
   31     1    31000093     95.30    95.28         4500
               31000085      5.29     5.08       1/ 851      1.55%    0.82
   30     1    30000012     90.49    90.30         4500
               30000161      5.21     5.00       1/ 865      2.54%    0.81
   29     1    29000097     85.78    85.38         4500
               29000086      5.06     4.87       1/ 890      1.21%    0.80
   28     1    28000006     81.17    80.59         4500
               28000137      4.99     4.81       1/ 902      1.43%    0.80
   27     1    27000150     76.61    75.85         4500
               27000086      4.91     4.75       1/ 917      1.80%    0.81
   26     1    26000006     72.10    71.18         4500
               26000137      4.80     4.66       1/ 938      2.13%    0.81
   25     1    25000150     67.65    66.58         4500
               25000086      4.66     4.56       1/ 966      2.96%    0.80
   24     1    24000004     63.25    62.09         4500
               24000137      4.46     4.42       1/1010      4.76%    0.79
   23     1    23000097     58.92    57.72         5100
               23000161      4.89     4.77       1/1043      2.38%    0.77
   22     1    22000098     54.10    53.00         4500
               22000098      4.25     4.11       1/1058      2.20%    0.78
   21     1    21000097     49.90    48.94         4500
               21000150      4.16     4.02       1/1082      2.62%    0.79
   20     1    20000007     45.79    44.95         4500
               20000004      4.04     3.92       1/1113      2.96%    0.79
   19     1    19000097     41.79    41.08         4500
               19000150      3.92     3.80       1/1148      3.55%    0.79
   18     1    18000004     37.91    37.31         4500
               18000007      3.76     3.67       1/1196      4.33%    0.78
   17     1    17000150     34.18    33.68         4500
               17000150      3.57     3.51       1/1262      3.03%    0.77
   16     1    16000009     30.64    30.19         4500
               16000009      3.44     3.40       1/1307      3.57%    0.77
   15     1    15000150     27.23    26.82         4500
               15000150      3.31     3.28       1/1358      4.12%    0.78
   14     1    14000004     23.93    23.56         4500
               14000009      3.17     3.15       1/1418      4.77%    0.77
   13     1    13000097     20.78    20.43         4500
               13000150      3.02     3.00       1/1490      5.68%    0.76
   12     1    12000004     17.77    17.45         4500
               12000004      2.85     2.83       1/1581      7.30%    0.75
   11     1    11000004     14.94    14.64         4500
               11000004      2.64     2.62       1/1705      8.72%    0.73
   10     1    10000070     12.31    12.03         6300
               10000089      3.39     3.35       1/1858     11.17%    0.71
    9     1     9000187      8.93     8.69         6000
                9000187      2.93     2.84       1/2049     12.97%    0.68
    8     1     8000198      6.00     5.86         6000
                8000198      2.54     2.47       1/2363     18.29%    0.67
    7     1     7000220      3.46     3.39         6000
                7000220      2.07     2.02       1/2901     31.80%    0.63
    6     1     6000190      1.39     1.37         5950
                6000190      1.39     1.37       1/4268     99.92%    0.52
    5     1     5000371      0.07     0.04         6000
                5000587      0.07     0.04       1/9999      0.00%    0.00
    4     1     4000055      0.01     0.00         6800
                4000055      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000486      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000250      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000304      0.00     0.00         3600
                1000304      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/412  (53层1塔)

  === 工况22 === Y 双向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   54     1    54000013    214.92   213.79         4000
               54000013      4.53     4.49       1/ 883     23.27%    1.00
   53     1    53000062    215.50   211.28         4500
               53000071     10.94     6.24       1/ 411     19.20%    0.95
   52     1    52000069    207.00   203.95         4500
               52000069      5.08     5.04       1/ 887      0.52%    0.74
   51     1    51000081    202.07   199.07         4500
               51000081      5.07     5.01       1/ 888      1.71%    0.77
   50     1    50000083    197.15   194.22         4500
               50000083      5.16     5.10       1/ 872      1.47%    0.78
   49     1    49000083    192.15   189.30         4500
               49000083      5.24     5.17       1/ 859      1.39%    0.85
   48     1    48000073    187.09   184.32         4500
               48000073      5.32     5.25       1/ 846      1.13%    0.86
   47     1    47000083    181.96   179.27         4500
               47000091      5.39     5.30       1/ 834      1.00%    0.85
   46     1    46000067    176.77   174.17         4500
               46000073      5.49     5.36       1/ 820      0.89%    0.85
   45     1    45000093    171.48   169.00         5100
               45000093      6.22     6.01       1/ 819      0.17%    0.83
   44     1    44000087    165.48   163.18         4500
               44000095      5.50     5.32       1/ 818      0.02%    0.83
   43     1    43000070    160.17   158.02         4500
               43000070      5.49     5.32       1/ 820      0.77%    0.83
   42     1    42000082    154.86   152.86         4500
               42000074      5.54     5.36       1/ 813      0.03%    0.84
   41     1    41000076    149.50   147.65         4500
               41000070      5.53     5.36       1/ 814      0.29%    0.84
   40     1    40000086    144.15   142.45         4500
               40000086      5.49     5.34       1/ 820      0.04%    0.83
   39     1    39000073    138.82   137.25         4500
               39000073      5.49     5.34       1/ 819      0.03%    0.83
   38     1    38000086    133.48   132.05         4500
               38000086      5.51     5.34       1/ 817      0.28%    0.83
   37     1    37000073    128.12   126.84         4500
               37000073      5.52     5.33       1/ 816      0.52%    0.83
   36     1    36000092    122.75   121.64         5100
               36000092      6.29     6.00       1/ 811      0.72%    0.83
   35     1    35000086    116.62   115.77         4500
               35000086      5.48     5.26       1/ 821      0.67%    0.82
   34     1    34000145    111.26   110.63         4500
               34000153      5.45     5.22       1/ 826      0.52%    0.82
   33     1    33000085    105.93   105.51         4500
               33000093      5.41     5.20       1/ 832      1.09%    0.82
   32     1    32000151    100.63   100.42         4500
               32000151      5.35     5.14       1/ 841      1.10%    0.82
   31     1    31000085     95.38    95.35         4500
               31000093      5.30     5.08       1/ 850      1.55%    0.82
   30     1    30000004     90.61    90.40         4500
               30000151      5.21     5.00       1/ 864      2.54%    0.81
   29     1    29000150     85.90    85.48         4500
               29000086      5.06     4.88       1/ 889      1.21%    0.80
   28     1    28000006     81.29    80.69         4500
               28000137      4.99     4.82       1/ 901      1.43%    0.80
   27     1    27000150     76.72    75.95         4500
               27000086      4.91     4.75       1/ 916      1.80%    0.81
   26     1    26000006     72.21    71.27         4500
               26000140      4.80     4.67       1/ 937      2.13%    0.81
   25     1    25000150     67.76    66.68         4500
               25000094      4.67     4.57       1/ 964      2.96%    0.80
   24     1    24000006     63.36    62.18         4500
               24000137      4.46     4.43       1/1008      4.76%    0.79
   23     1    23000161     59.03    57.82         5100
               23000097      4.89     4.78       1/1042      2.38%    0.77
   22     1    22000098     54.20    53.10         4500
               22000147      4.26     4.12       1/1057      2.19%    0.78
   21     1    21000097     50.00    49.03         4500
               21000097      4.16     4.03       1/1081      2.62%    0.79
   20     1    20000007     45.89    45.05         4500
               20000007      4.05     3.92       1/1111      2.95%    0.79
   19     1    19000150     41.89    41.18         4500
               19000150      3.93     3.81       1/1146      3.54%    0.79
   18     1    18000007     38.02    37.41         4500
               18000007      3.77     3.68       1/1194      4.33%    0.78
   17     1    17000150     34.29    33.78         4500
               17000097      3.57     3.52       1/1260      3.03%    0.77
   16     1    16000004     30.76    30.30         4500
               16000004      3.45     3.41       1/1305      3.57%    0.77
   15     1    15000097     27.34    26.92         4500
               15000097      3.32     3.29       1/1355      4.12%    0.78
   14     1    14000009     24.05    23.66         4500
               14000004      3.18     3.16       1/1415      4.76%    0.77
   13     1    13000097     20.90    20.54         4500
               13000097      3.03     3.01       1/1487      5.67%    0.76
   12     1    12000004     17.90    17.56         4500
               12000009      2.85     2.84       1/1577      7.29%    0.75
   11     1    11000004     15.06    14.75         4500
               11000004      2.65     2.64       1/1701      8.67%    0.73
   10     1    10000070     12.44    12.15         6300
               10000089      3.41     3.37       1/1850     11.04%    0.71
    9     1     9000187      9.05     8.81         6000
                9000200      2.96     2.88       1/2029     12.88%    0.68
    8     1     8000211      6.10     5.95         6000
                8000198      2.57     2.50       1/2332     18.18%    0.67
    7     1     7000207      3.53     3.45         6000
                7000207      2.11     2.05       1/2849     31.76%    0.63
    6     1     6000191      1.42     1.39         5950
                6000191      1.42     1.39       1/4180     99.92%    0.52
    5     1     5000371      0.07     0.04         6000
                5000371      0.07     0.04       1/9999      0.00%    0.00
    4     1     4000055      0.01     0.00         6800
                4000055      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000486      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000331      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000353      0.00     0.00         3600
                1000353      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/411  (53层1塔)

  === 工况16 === Y+ 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   54     1    54000018    214.95   209.72         4000
               54000008      4.46     4.45       1/ 896     23.96%    1.00
   53     1    53000077    225.66   210.65         4500
               53000071     11.22     6.19       1/ 401     18.69%    0.95
   52     1    52000081    218.36   203.65         4500
               52000081      5.26     5.02       1/ 856      0.56%    0.75
   51     1    51000090    213.34   198.78         4500
               51000134      5.25     5.00       1/ 857      1.98%    0.77
   50     1    50000141    208.33   193.94         4500
               50000141      5.37     5.08       1/ 837      1.51%    0.79
   49     1    49000141    203.23   189.03         4500
               49000141      5.49     5.16       1/ 820      1.53%    0.86
   48     1    48000075    198.03   184.05         4500
               48000123      5.59     5.23       1/ 806      1.02%    0.86
   47     1    47000141    192.74   179.02         4500
               47000094      5.65     5.29       1/ 797      1.06%    0.85
   46     1    46000123    187.38   173.92         4500
               46000123      5.67     5.34       1/ 793      1.38%    0.85
   45     1    45000157    181.97   168.77         5100
               45000096      6.27     5.99       1/ 814      0.55%    0.83
   44     1    44000153    175.93   162.96         4500
               44000153      5.56     5.29       1/ 810      0.07%    0.83
   43     1    43000128    170.57   157.82         4500
               43000128      5.56     5.30       1/ 809      0.73%    0.83
   42     1    42000085    165.20   152.67         4500
               42000135      5.62     5.34       1/ 801      0.03%    0.84
   41     1    41000079    159.78   147.48         4500
               41000079      5.62     5.33       1/ 800      0.41%    0.84
   40     1    40000149    154.35   142.29         4500
               40000097      5.63     5.32       1/ 800      0.15%    0.83
   39     1    39000134    148.91   137.11         4500
               39000084      5.64     5.32       1/ 798      0.15%    0.83
   38     1    38000097    143.45   131.92         4500
               38000149      5.62     5.32       1/ 800      0.19%    0.83
   37     1    37000134    138.00   126.72         4500
               37000134      5.59     5.30       1/ 805      0.81%    0.83
   36     1    36000147    132.56   121.54         5100
               36000095      6.23     5.97       1/ 819      0.80%    0.83
   35     1    35000147    126.50   115.69         4500
               35000097      5.49     5.24       1/ 820      0.45%    0.82
   34     1    34000004    121.15   110.56         4500
               34000010      5.47     5.20       1/ 823      0.96%    0.82
   33     1    33000096    115.82   105.46         4500
               33000149      5.44     5.18       1/ 828      1.07%    0.82
   32     1    32000004    110.51   100.39         4500
               32000012      5.39     5.12       1/ 835      1.11%    0.82
   31     1    31000149    105.25    95.37         4500
               31000096      5.33     5.06       1/ 844      1.53%    0.82
   30     1    30000004    100.03    90.40         4500
               30000004      5.26     4.99       1/ 856      2.51%    0.81
   29     1    29000097     94.88    85.50         4500
               29000150      5.13     4.86       1/ 877      1.10%    0.80
   28     1    28000006     89.85    80.71         4500
               28000006      5.09     4.80       1/ 885      1.49%    0.81
   27     1    27000097     84.86    75.99         4500
               27000097      5.03     4.74       1/ 895      1.67%    0.81
   26     1    26000004     79.93    71.32         4500
               26000006      4.96     4.65       1/ 907      2.15%    0.81
   25     1    25000097     75.06    66.74         4500
               25000150      4.89     4.56       1/ 920      2.77%    0.80
   24     1    24000004     70.25    62.24         4500
               24000004      4.81     4.43       1/ 935      4.34%    0.79
   23     1    23000097     65.51    57.87         5100
               23000097      5.34     4.79       1/ 955      2.25%    0.78
   22     1    22000147     60.25    53.14         4500
               22000147      4.65     4.12       1/ 967      2.46%    0.78
   21     1    21000150     55.67    49.07         4500
               21000150      4.56     4.04       1/ 986      2.51%    0.79
   20     1    20000004     51.16    45.07         4500
               20000007      4.45     3.93       1/1011      3.08%    0.79
   19     1    19000150     46.77    41.18         4500
               19000150      4.33     3.82       1/1040      3.46%    0.79
   18     1    18000007     42.50    37.40         4500
               18000007      4.16     3.68       1/1081      4.51%    0.78
   17     1    17000097     38.38    33.76         4500
               17000097      3.95     3.52       1/1138      2.92%    0.77
   16     1    16000009     34.47    30.27         4500
               16000009      3.83     3.41       1/1176      3.72%    0.77
   15     1    15000097     30.67    26.88         4500
               15000150      3.69     3.29       1/1218      3.99%    0.77
   14     1    14000009     27.01    23.62         4500
               14000009      3.55     3.15       1/1269      4.91%    0.77
   13     1    13000150     23.48    20.48         4500
               13000150      3.38     3.00       1/1330      5.55%    0.76
   12     1    12000009     20.12    17.50         4500
               12000004      3.20     2.83       1/1407      7.43%    0.75
   11     1    11000004     16.94    14.68         4500
               11000148      2.97     2.63       1/1517      8.71%    0.73
   10     1    10000070     13.98    12.06         6300
               10000070      3.83     3.35       1/1647     12.27%    0.71
    9     1     9000187     10.17     8.72         6000
                9000187      3.30     2.85       1/1818     12.24%    0.67
    8     1     8000211      6.87     5.87         6000
                8000198      2.89     2.48       1/2075     18.35%    0.68
    7     1     7000207      3.98     3.40         6000
                7000207      2.38     2.02       1/2523     32.37%    0.63
    6     1     6000191      1.60     1.38         5950
                6000191      1.60     1.37       1/3708     99.92%    0.52
    5     1     5000371      0.07     0.04         6000
                5000371      0.07     0.04       1/9999      0.00%    0.00
    4     1     4000055      0.01     0.00         6800
                4000055      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000486      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000250      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000304      0.00     0.00         3600
                1000304      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/401  (53层1塔)

  === 工况17 === Y- 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   54     1    54000013    225.09   217.62         4000
               54000014      4.63     4.51       1/ 864     21.78%    1.00
   53     1    53000068    232.02   210.94         4500
               53000072     10.75     6.21       1/ 419     19.28%    0.94
   52     1    52000068    224.79   203.94         4500
               52000069      5.30     5.04       1/ 848      0.42%    0.74
   51     1    51000081    219.65   199.06         4500
               51000087      5.34     5.01       1/ 843      1.46%    0.77
   50     1    50000091    214.50   194.21         4500
               50000091      5.48     5.10       1/ 822      1.43%    0.78
   49     1    49000083    209.23   189.29         4500
               49000083      5.59     5.17       1/ 805      1.26%    0.85
   48     1    48000067    203.88   184.31         4500
               48000067      5.70     5.25       1/ 789      1.25%    0.86
   47     1    47000091    198.42   179.26         4500
               47000083      5.81     5.30       1/ 775      0.95%    0.85
   46     1    46000073    192.86   174.15         4500
               46000073      5.92     5.36       1/ 760      0.40%    0.85
   45     1    45000093    187.20   168.98         5100
               45000093      6.70     6.03       1/ 762      0.18%    0.84
   44     1    44000095    180.79   163.15         4500
               44000087      5.92     5.33       1/ 760      0.11%    0.83
   43     1    43000076    175.10   157.99         4500
               43000076      5.91     5.33       1/ 762      0.80%    0.83
   42     1    42000074    169.42   152.82         4500
               42000082      5.97     5.37       1/ 753      0.09%    0.84
   41     1    41000076    163.66   147.60         4500
               41000076      5.97     5.37       1/ 754      0.17%    0.84
   40     1    40000094    157.90   142.39         4500
               40000094      5.92     5.35       1/ 760      0.06%    0.83
   39     1    39000073    152.18   137.19         4500
               39000081      5.94     5.35       1/ 758      0.10%    0.83
   38     1    38000094    146.43   131.98         4500
               38000094      5.96     5.35       1/ 755      0.36%    0.83
   37     1    37000073    140.65   126.76         4500
               37000073      5.98     5.34       1/ 753      0.23%    0.83
   36     1    36000092    134.84   121.55         5100
               36000084      6.83     6.02       1/ 747      0.62%    0.83
   35     1    35000094    128.20   115.66         4500
               35000094      5.96     5.27       1/ 755      0.89%    0.83
   34     1    34000153    122.40   110.50         4500
               34000145      5.93     5.24       1/ 759      0.08%    0.82
   33     1    33000085    116.61   105.37         4500
               33000093      5.90     5.21       1/ 763      1.10%    0.83
   32     1    32000151    110.85   100.27         4500
               32000161      5.84     5.15       1/ 770      1.08%    0.82
   31     1    31000085    105.14    95.22         4500
               31000085      5.79     5.09       1/ 777      1.58%    0.82
   30     1    30000161     99.47    90.22         4500
               30000151      5.70     5.01       1/ 790      2.57%    0.81
   29     1    29000086     93.88    85.29         4500
               29000094      5.53     4.89       1/ 814      1.32%    0.80
   28     1    28000140     88.45    80.48         4500
               28000137      5.46     4.83       1/ 825      1.37%    0.80
   27     1    27000086     83.09    75.73         4500
               27000086      5.37     4.75       1/ 838      1.93%    0.81
   26     1    26000140     77.81    71.05         4500
               26000137      5.25     4.67       1/ 856      2.11%    0.81
   25     1    25000094     72.64    66.45         4500
               25000094      5.10     4.56       1/ 881      3.15%    0.80
   24     1    24000137     67.62    61.95         4500
               24000137      4.88     4.42       1/ 923      5.19%    0.79
   23     1    23000094     62.81    57.58         5100
               23000086      5.09     4.76       1/1003      2.51%    0.77
   22     1    22000095     57.79    52.88         4500
               22000095      4.34     4.10       1/1037      1.93%    0.78
   21     1    21000086     53.50    48.83         4500
               21000086      4.27     4.01       1/1054      2.74%    0.79
   20     1    20000144     49.28    44.86         4500
               20000148      4.17     3.91       1/1080      2.83%    0.79
   19     1    19000094     45.16    40.99         4500
               19000086      4.07     3.79       1/1107      3.63%    0.79
   18     1    18000144     41.14    37.24         4500
               18000148      3.95     3.66       1/1139      4.16%    0.78
   17     1    17000094     37.22    33.61         4500
               17000094      3.82     3.50       1/1177      3.13%    0.77
   16     1    16000152     33.43    30.14         4500
               16000152      3.73     3.40       1/1206      3.43%    0.77
   15     1    15000086     29.73    26.77         4500
               15000094      3.61     3.28       1/1245      4.25%    0.78
   14     1    14000146     26.15    23.51         4500
               14000152      3.48     3.14       1/1294      4.63%    0.77
   13     1    13000094     22.69    20.39         4500
               13000094      3.32     2.99       1/1354      5.82%    0.76
   12     1    12000152     19.39    17.42         4500
               12000152      3.14     2.82       1/1432      7.18%    0.75
   11     1    11000107     16.27    14.61         4500
               11000107      2.92     2.62       1/1543      8.73%    0.73
   10     1    10000068     13.37    12.01         6300
               10000068      3.72     3.34       1/1691     10.06%    0.71
    9     1     9000176      9.66     8.67         6000
                9000176      3.11     2.83       1/1928     13.69%    0.69
    8     1     8000188      6.55     5.84         6000
                8000188      2.74     2.46       1/2193     18.22%    0.66
    7     1     7000198      3.82     3.38         6000
                7000203      2.27     2.01       1/2649     31.24%    0.63
    6     1     6000186      1.55     1.37         5950
                6000186      1.55     1.36       1/3832     99.92%    0.53
    5     1     5000371      0.07     0.04         6000
                5000371      0.07     0.04       1/9999      0.00%    0.00
    4     1     4000055      0.01     0.00         6800
                4000055      0.01     0.00       1/9999      0.00%    1.00
    3     1     3000486      0.00     0.00         3800
                3000479      0.00     0.00       1/9999      0.00%    1.00
    2     1     2000329      0.00     0.00         3600
                2000250      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000304      0.00     0.00         3600
                1000304      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/419  (53层1塔)

  === 工况4 === +X 方向风荷载作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx    Max-Dx/h    DxR/Dx    Ratio_AX

   54     1    54000010    135.62   133.85        1.01         4000
               54000003      2.45     2.23        1.10       1/1630     12.19%    1.00
   53     1    53000073    138.26   130.75        1.06         4500
               53000093      5.13     2.19        2.34       1/ 878      3.29%    0.68
   52     1    52000064    135.39   127.78        1.06         4500
               52000053      2.31     2.27        1.02       1/1950      0.25%    0.80
   51     1    51000067    133.15   125.51        1.06         4500
               51000068      2.29     2.28        1.00       1/1967      2.58%    0.82
   50     1    50000059    130.89   123.23        1.06         4500
               50000059      2.34     2.33        1.00       1/1925      3.18%    0.87
   49     1    49000059    128.55   120.90        1.06         4500
               49000059      2.43     2.41        1.01       1/1851      3.17%    0.88
   48     1    48000049    126.12   118.49        1.06         4500
               48000049      2.52     2.48        1.02       1/1782      2.77%    0.89
   47     1    47000059    123.60   116.00        1.07         4500
               47000059      2.61     2.55        1.02       1/1725      2.75%    0.88
   46     1    46000056    120.99   113.45        1.07         4500
               46000049      2.68     2.62        1.02       1/1677      1.47%    0.88
   45     1    45000071    118.31   110.83        1.07         5100
               45000071      3.07     3.02        1.02       1/1663      1.20%    0.87
   44     1    44000073    115.24   107.81        1.07         4500
               44000073      2.75     2.70        1.01       1/1639      1.32%    0.86
   43     1    43000059    112.49   105.11        1.07         4500
               43000052      2.78     2.73        1.02       1/1616      2.30%    0.86
   42     1    42000056    109.71   102.38        1.07         4500
               42000056      2.86     2.79        1.02       1/1575      1.37%    0.86
   41     1    41000052    106.85    99.59        1.07         4500
               41000052      2.90     2.83        1.03       1/1550      1.78%    0.86
   40     1    40000062    103.95    96.76        1.07         4500
               40000062      2.97     2.88        1.03       1/1515      1.70%    0.86
   39     1    39000055    100.98    93.87        1.08         4500
               39000055      3.03     2.93        1.03       1/1487      1.17%    0.86
   38     1    38000062     97.95    90.94        1.08         4500
               38000072      3.07     2.97        1.03       1/1468      0.89%    0.86
   37     1    37000055     94.88    87.98        1.08         4500
               37000055      3.09     2.99        1.03       1/1457      1.28%    0.85
   36     1    36000071     91.79    84.98        1.08         5100
               36000071      3.52     3.43        1.03       1/1450      0.31%    0.85
   35     1    35000072     88.28    81.55        1.08         4500
               35000062      3.14     3.05        1.03       1/1435      1.00%    0.85
   34     1    34000133     85.14    78.51        1.08         4500
               34000133      3.17     3.07        1.03       1/1420      0.49%    0.85
   33     1    33000061     81.97    75.44        1.09         4500
               33000061      3.19     3.09        1.03       1/1411      0.03%    0.84
   32     1    32000020     78.78    72.35        1.09         4500
               32000020      3.20     3.09        1.04       1/1408      0.34%    0.84
   31     1    31000071     75.59    69.27        1.09         4500
               31000061      3.19     3.08        1.04       1/1409      1.03%    0.83
   30     1    30000139     72.40    66.19        1.09         4500
               30000139      3.16     3.04        1.04       1/1423      2.67%    0.82
   29     1    29000062     69.23    63.15        1.10         4500
               29000062      3.08     2.96        1.04       1/1461      0.50%    0.80
   28     1    28000125     66.15    60.18        1.10         4500
               28000014      3.07     2.95        1.04       1/1464      0.42%    0.81
   27     1    27000072     63.08    57.24        1.10         4500
               27000072      3.07     2.94        1.05       1/1465      0.38%    0.82
