     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况19 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

  === 工况20 === X 双向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   54     1    54000011    168.15   167.85         4000
               54000004      2.70     2.68       1/1484     22.50%    1.00
   53     1    53000067    168.94   166.63         4500
               53000067      6.98     3.70       1/ 645     15.33%    0.94
   52     1    52000062    163.63   162.06         4500
               52000053      3.19     3.13       1/1409      0.37%    0.78
   51     1    51000057    160.72   159.09         4500
               51000068      3.18     3.14       1/1415      3.37%    0.80
   50     1    50000069    157.77   156.12         4500
               50000080      3.28     3.24       1/1370      3.71%    0.81
   49     1    49000069    154.73   153.05         4500
               49000070      3.40     3.36       1/1322      3.43%    0.88
   48     1    48000049    151.58   149.89         4500
               48000064      3.52     3.48       1/1278      2.74%    0.89
   47     1    47000069    148.31   146.61         4500
               47000080      3.61     3.58       1/1246      2.31%    0.89
   46     1    46000049    144.95   143.25         4500
               46000057      3.70     3.66       1/1217      1.19%    0.88
   45     1    45000071    141.51   139.80         5100
               45000072      4.25     4.20       1/1201      0.75%    0.86
   44     1    44000073    137.56   135.83         4500
               44000074      3.77     3.73       1/1195      0.71%    0.85
   43     1    43000052    134.03   132.29         4500
               43000060      3.79     3.76       1/1187      1.89%    0.85
   42     1    42000063    130.47   128.71         4500
               42000064      3.85     3.83       1/1167      0.97%    0.86
   41     1    41000059    126.83   125.06         4500
               41000067      3.89     3.86       1/1158      1.38%    0.85
   40     1    40000072    123.15   121.38         4500
               40000083      3.93     3.92       1/1145      1.21%    0.86
   39     1    39000055    119.41   117.63         4500
               39000070      3.97     3.96       1/1132      0.74%    0.85
   38     1    38000062    115.61   113.83         4500
               38000062      4.00     3.99       1/1125      0.32%    0.85
   37     1    37000055    111.77   110.00         4500
               37000055      4.02     4.01       1/1121      0.89%    0.84
   36     1    36000071    107.91   106.15         5100
               36000061      4.59     4.58       1/1110      0.34%    0.84
   35     1    35000072    103.48   101.74         4500
               35000062      4.07     4.06       1/1106      0.58%    0.84
   34     1    34000133     99.55    97.82         4500
               34000018      4.09     4.08       1/1100      0.11%    0.84
   33     1    33000071     95.60    93.88         4500
               33000071      4.10     4.08       1/1098      0.44%    0.84
   32     1    32000020     91.63    89.94         4500
               32000139      4.08     4.07       1/1104      0.83%    0.83
   31     1    31000061     87.68    86.00         4500
               31000071      4.04     4.03       1/1113      1.61%    0.82
   30     1    30000139     83.75    82.09         4500
               30000020      3.98     3.97       1/1132      2.88%    0.81
   29     1    29000072     79.89    78.23         4500
               29000062      3.86     3.85       1/1166      0.95%    0.80
   28     1    28000125     76.13    74.49         4500
               28000014      3.82     3.82       1/1177      0.83%    0.80
   27     1    27000062     72.40    70.77         4500
               27000072      3.79     3.79       1/1187      0.82%    0.81
   26     1    26000125     68.69    67.08         4500
               26000014      3.76     3.75       1/1196      0.84%    0.82
   25     1    25000072     65.01    63.41         4500
               25000072      3.73     3.72       1/1205      1.00%    0.82
   24     1    24000125     61.36    59.77         4500
               24000125      3.70     3.69       1/1216      0.00%    0.82
   23     1    23000074     57.73    56.17         5100
               23000064      4.19     4.18       1/1217      2.00%    0.83
   22     1    22000073     53.61    52.07         4500
               22000073      3.62     3.61       1/1242      1.17%    0.81
   21     1    21000062     50.05    48.53         4500
               21000072      3.58     3.57       1/1256      1.54%    0.81
   20     1    20000015     46.52    45.02         4500
               20000132      3.53     3.52       1/1276      1.88%    0.81
   19     1    19000062     43.05    41.57         4500
               19000062      3.46     3.45       1/1299      2.76%    0.81
   18     1    18000015     39.63    38.17         4500
