   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     26        1         30.77         27.73         19.40
     25        1         10.51         29.54        -26.07
     24        1        -10.36         30.40        -69.51
     23        1        -30.38         28.75       -109.80
     22        1        -48.11         26.58       -138.61
     21        1        -61.07         22.05       -159.59
     20        1        -69.57         17.47       -163.20
     19        1        -70.99         11.19       -156.82
     18        1        -67.29          5.25       -132.88
     17        1        -56.63         -1.38       -100.13
     16        1        -41.95         -7.48        -55.65
     15        1        -22.84        -13.10         -6.58
     14        1         -2.33        -18.17         44.00
     13        1         18.63        -21.78         93.37
     12        1         38.22        -25.10        133.91
     11        1         54.31        -26.25        168.06
     10        1         66.68        -27.35        185.61
      9        1         72.77        -26.04        193.76
      8        1         74.11        -24.85        183.04
      7        1         68.62        -21.52        163.58
      6        1         59.18        -18.41        129.82
      5        1         45.01        -13.89         92.38
      4        1         53.03        -15.65        108.73
      3        1         30.64        -21.04        -85.17
      2        1         12.82         -8.82        -37.71
      1        1          5.51         -3.59        -15.53

   振型  15 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1        -15.51         43.79          0.36
     53        1        -17.40         33.85         -4.85
     52        1        -23.15          9.97       -143.37
     51        1        -10.58         -0.10       -133.37
     50        1         14.90        -11.95        -92.65
     49        1         21.40        -19.06        -28.94
     48        1         26.38        -25.41         25.90
     47        1         27.17        -28.68         73.09
     46        1         25.39        -30.82        108.04
     45        1         19.94        -28.97        130.09
     44        1         12.62        -26.25        136.77
     43        1          3.60        -19.96        129.99
     42        1         -5.92        -13.23        110.24
     41        1        -14.48         -4.48         81.07
     40        1        -22.01          4.21         45.61
     39        1        -26.34         12.69          7.65
     38        1        -28.59         20.63        -28.36
     37        1        -26.80         26.18        -59.64
     36        1        -24.61         33.20        -87.36
     35        1        -17.45         34.35       -102.22
     34        1         -8.90         34.29       -106.27
     33        1          0.32         30.92       -103.42
     32        1          9.40         26.63        -91.34
     31        1         17.06         19.84        -74.64
     30        1         23.38         12.47        -52.68
     29        1         26.79          3.87        -28.96
     28        1         28.06         -4.82         -4.73
     27        1         26.00        -13.13         18.14
     26        1         21.94        -20.91         37.25
     25        1         15.51        -26.88         53.05
     24        1          7.90        -31.98         63.18
     23        1         -0.41        -34.29         69.23
     22        1         -8.69        -35.44         69.34
     21        1        -15.73        -33.45         65.83
     20        1        -21.57        -30.29         57.71
     19        1        -24.71        -24.42         47.26
     18        1        -25.97        -17.64         34.37
     17        1        -24.10         -9.22         20.79
     16        1        -20.40         -0.43          6.98
     15        1        -14.32          8.50         -6.05
     14        1         -7.23         17.14        -17.58
     13        1          0.61         24.43        -27.55
     12        1          8.38         30.96        -35.39
     11        1         15.09         35.01        -41.39
     10        1         20.70         37.95        -44.98
      9        1         23.86         37.86        -46.79
      8        1         25.36         36.65        -46.09
      7        1         23.98         32.61        -43.72
      6        1         21.13         27.81        -38.69
      5        1         16.18         21.19        -31.97
      4        1         19.12         25.38        -46.40
      3        1         10.09         29.50        -39.20
      2        1          4.24         12.72        -16.59
      1        1          1.89          5.37         -8.93

   振型  16 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          3.18         -6.49        -17.79
     53        1          3.70         -4.62        -18.75
     52        1         -0.09          3.66       -118.33
     51        1          1.34          0.50       -141.83
     50        1          1.73          4.83       -160.92
     49        1         -0.31          3.51        -80.16
     48        1         -1.56          3.11         -9.55
     47        1         -2.45          2.40         55.68
     46        1         -3.21          1.42        111.79
     45        1         -3.32          0.81        156.15
     44        1         -3.47         -0.40        184.28
     43        1         -2.89         -0.72        196.20
     42        1         -2.47         -1.75        189.12
     41        1         -1.49         -1.73        166.05
     40        1         -0.72         -2.26        127.19
     39        1          0.27         -1.97         77.70
     38        1          1.09         -1.89         20.92
     37        1          1.74         -1.53        -37.45
     36        1          2.67         -1.15        -97.61
     35        1          2.83         -0.93       -146.77
     34        1          3.12         -0.20       -180.98
     33        1          2.73         -0.12       -203.63
     32        1          2.65          0.64       -206.24
     31        1          1.92          0.59       -197.02
     30        1          1.55          1.19       -169.12
     29        1          0.75          1.07       -131.61
     28        1          0.21          1.35        -81.70
     27        1         -0.44          1.21        -27.46
     26        1         -1.00          1.13         28.67
     25        1         -1.36          1.05         82.87
     24        1         -1.86          0.64        129.25
     23        1         -1.91          0.64        168.31
     22        1         -2.27          0.04        191.67
     21        1         -2.05          0.12        204.33
     20        1         -2.20         -0.50        197.92
     19        1         -1.79         -0.37        180.49
     18        1         -1.69         -0.85        146.19
     17        1         -1.18         -0.73        103.75
     16        1         -0.81         -0.94         51.57
     15        1         -0.29         -0.88         -3.40
     14        1          0.28         -0.78        -57.89
     13        1          0.72         -0.82       -109.39
     12        1          1.41         -0.46       -151.32
     11        1          1.70         -0.60       -185.60
     10        1          2.35         -0.09       -203.70
      9        1          2.42         -0.31       -211.79
      8        1          2.84          0.20       -201.83
      7        1          2.62         -0.04       -182.73
      6        1          2.64          0.33       -149.32
      5        1          2.12          0.10       -111.36
      4        1          2.87         -1.95       -142.90
      3        1          1.92         -0.84        -93.63
      2        1          0.80         -0.47        -40.97
      1        1          0.34         -0.20        -18.94

   振型  17 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          0.03         -0.03         -0.52
     53        1          0.04         -0.02         -0.57
     52        1          0.00         -0.09          2.32
     51        1          0.05         -0.05         -2.39
     50        1          0.11          0.10         -5.43
     49        1          0.03          0.07         -3.79
     48        1          0.00          0.08         -2.21
     47        1         -0.03          0.06         -0.56
     46        1         -0.06          0.04          1.04
     45        1         -0.08          0.03          2.48
     44        1         -0.09          0.00          3.64
     43        1         -0.08         -0.01          4.44
     42        1         -0.08         -0.04          4.79
     41        1         -0.06         -0.04          4.70
     40        1         -0.04         -0.06          4.14
     39        1         -0.01         -0.05          3.22
     38        1          0.01         -0.05          1.97
     37        1          0.03         -0.03          0.56
     36        1          0.05         -0.02         -0.94
     35        1          0.06         -0.02         -2.37
     34        1          0.07          0.00         -3.54
     33        1          0.07          0.01         -4.45
     32        1          0.07          0.02         -4.90
     31        1          0.05          0.02         -5.04
     30        1          0.05          0.04         -4.68
     29        1          0.03          0.03         -4.02
     28        1          0.01          0.04         -2.97
     27        1          0.00          0.03         -1.73
     26        1         -0.02          0.02         -0.34
     25        1         -0.03          0.02          1.06
     24        1         -0.04          0.01          2.35
     23        1         -0.04          0.00          3.50
     22        1         -0.05         -0.01          4.30
     21        1         -0.04         -0.01          4.85
     20        1         -0.05         -0.03          4.92
     19        1         -0.04         -0.02          4.69
     18        1         -0.04         -0.03          4.00
     17        1         -0.03         -0.02          3.07
     16        1         -0.02         -0.03          1.84
     15        1         -0.01         -0.02          0.49
     14        1          0.00         -0.01         -0.89
     13        1          0.01         -0.01         -2.23
     12        1          0.03          0.00         -3.36
     11        1          0.03          0.00         -4.31
     10        1          0.05          0.01         -4.86
      9        1          0.05          0.01         -5.15
      8        1          0.06          0.02         -4.98
      7        1          0.06          0.01         -4.55
      6        1          0.06          0.02         -3.75
      5        1          0.05          0.01         -2.82
      4        1          0.07         -0.04         -3.64
      3        1          0.04         -0.01         -2.39
      2        1          0.02         -0.01         -1.05
      1        1          0.01          0.00         -0.49

   振型  18 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          4.39          8.43         -3.68
     53        1          2.57          4.77         -5.46
     52        1         -3.47        -15.73         39.14
     51        1         -6.74        -16.19        -18.71
     50        1         -6.78         -9.28        -49.97
     49        1         -4.12         -4.20        -31.32
     48        1         -1.30          0.07        -13.52
     47        1          1.52          3.86          4.41
     46        1          4.02          7.16         20.80
     45        1          5.76          9.49         34.83
     44        1          6.73         11.04         44.57
     43        1          6.54         11.34         50.11
     42        1          5.51         10.76         50.14
     41        1          3.53          9.04         45.64
     40        1          1.07          6.62         36.47
     39        1         -1.59          3.55         24.10
     38        1         -4.13          0.21          9.60
     37        1         -5.98         -3.06         -5.61
     36        1         -7.71         -6.55        -21.01
     35        1         -7.77         -8.95        -34.22
     34        1         -6.90        -10.66        -43.19
     33        1         -5.08        -11.42        -48.85
     32        1         -2.63        -11.36        -48.99
     31        1          0.15        -10.41        -45.87
     30        1          3.05         -8.75        -38.15
     29        1          5.51         -6.43        -28.10
     28        1          7.51         -3.69        -15.71
     27        1          8.48         -0.71         -2.72
     26        1          8.62          2.25          9.70
     25        1          7.63          4.99         21.06
     24        1          5.85          7.38         29.70
     23        1          3.29          9.18         36.17
     22        1          0.30         10.38         38.79
     21        1         -2.73         10.76         38.92
     20        1         -5.64         10.46         35.42
     19        1         -7.81          9.35         29.93
     18        1         -9.35          7.67         22.07
     17        1         -9.66          5.40         13.26
     16        1         -9.11          2.82          3.88
     15        1         -7.36          0.03         -5.29
     14        1         -4.94         -2.71        -13.36
     13        1         -1.88         -5.26        -20.39
     12        1          1.42         -7.49        -25.40
     11        1          4.55         -9.17        -28.98
     10        1          7.38        -10.35        -30.21
      9        1          9.29        -10.78        -30.08
      8        1         10.50        -10.65        -27.88
      7        1         10.42         -9.78        -24.71
      6        1          9.57         -8.47        -20.14
      5        1          7.64         -6.65        -15.23
      4        1          9.47         -8.72        -20.70
      3        1          6.30        -10.98        -49.24
      2        1          2.73         -4.84        -21.97
      1        1          1.17         -2.03         -9.47

   振型  19 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          9.18         17.42         -8.19
     53        1          5.38          9.78        -11.94
     52        1         -8.38        -38.25         79.80
     51        1        -11.50        -24.12        -38.24
     50        1        -14.28        -19.75       -110.24
     49        1         -8.91         -9.31        -71.28
     48        1         -3.14         -0.53        -33.84
     47        1          2.70          7.27          4.24
     46        1          7.91         14.07         39.53
     45        1         11.62         18.93         70.14
     44        1         13.76         22.21         91.97
     43        1         13.52         22.97        105.03
     42        1         11.52         21.90        106.46
     41        1          7.56         18.53         98.20
     40        1          2.53         13.69         79.79
     39        1         -2.93          7.52         54.33
     38        1         -8.20          0.76         23.96
     37        1        -12.10         -5.89         -8.27
     36        1        -15.77        -12.98        -41.07
     35        1        -16.00        -17.92        -69.69
     34        1        -14.32        -21.45        -89.59
     33        1        -10.67        -23.10       -102.61
     32        1         -5.67        -23.05       -103.96
     31        1          0.02        -21.20        -98.34
     30        1          6.00        -17.89        -82.79
     29        1         11.12        -13.23        -62.14
     28        1         15.31         -7.72        -36.18
     27        1         17.38         -1.69         -8.72
     26        1         17.76          4.32         17.87
     25        1         15.81          9.91         42.40
     24        1         12.20         14.79         61.40
     23        1          6.99         18.49         75.88
     22        1          0.85         20.95         82.25
     21        1         -5.39         21.77         83.31
     20        1        -11.42         21.20         76.51
     19        1        -15.93         18.99         65.36
     18        1        -19.16         15.62         48.95
     17        1        -19.86         11.04         30.33
     16        1        -18.79          5.83         10.20
     15        1        -15.24          0.18         -9.61
     14        1        -10.29         -5.38        -27.28
     13        1         -4.01        -10.55        -42.81
     12        1          2.79        -15.08        -54.07
     11        1          9.24        -18.52        -62.26
     10        1         15.10        -20.91        -65.35
      9        1         19.05        -21.80        -65.42
      8        1         21.59        -21.55        -60.90
      7        1         21.43        -19.80        -54.14
      6        1         19.72        -17.16        -44.23
      5        1         15.74        -13.48        -33.48
      4        1         19.52        -17.73        -45.39
      3        1         13.00        -22.33       -102.94
      2        1          5.63         -9.85        -45.93
      1        1          2.42         -4.14        -19.84

   振型  20 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         37.72         -7.98         -0.33
     53        1         28.68         -9.55          0.01
     52        1          1.52         29.02       -111.98
     51        1        -34.00         -0.29        -22.15
     50        1        -78.21        -18.52         67.60
     49        1        -58.78        -14.83         78.69
     48        1        -39.48        -10.64         82.01
     47        1        -14.52         -5.01         76.66
     46        1         10.84          0.34         62.76
     45        1         33.82          5.61         42.38
     44        1         52.42         10.08         14.13
     43        1         61.58         13.04        -17.58
     42        1         63.71         15.02        -52.53
     41        1         54.47         14.64        -85.39
     40        1         39.35         13.52       -113.17
     39        1         17.15         10.08       -132.19
     38        1         -6.48          6.48       -137.63
     37        1        -28.96          1.51       -129.90
     36        1        -51.07         -3.23       -111.81
     35        1        -61.91         -7.73        -75.49
     34        1        -65.42        -11.27        -26.47
     33        1        -59.05        -13.52         26.36
     32        1        -46.48        -14.84         79.67
     31        1        -27.12        -14.29        129.05
     30        1         -5.39        -13.29        165.80
     29        1         17.39        -10.39        191.13
     28        1         37.66         -7.60        193.58
     27        1         52.72         -3.51        180.81
     26        1         61.61         -0.02        144.46
     25        1         62.09          3.80         95.87
     24        1         55.99          6.91         32.39
     23        1         42.04          9.31        -35.89
     22        1         23.93         11.21       -103.25
     21        1          2.20         11.60       -164.89
     20        1        -19.28         11.90       -208.57
     19        1        -38.48         10.38       -237.35
     18        1        -53.13          9.20       -237.25
     17        1        -60.76          6.44       -218.56
     16        1        -61.64          4.23       -171.41
     15        1        -54.14          1.20       -109.49
     14        1        -41.06         -1.36        -32.10
     13        1        -22.36         -3.79         49.78
     12        1         -1.65         -6.12        128.33
     11        1         19.66         -7.43        199.60
     10        1         38.55         -9.09        249.18
      9        1         52.83         -9.11        282.23
      8        1         61.43         -9.76        283.56
      7        1         62.54         -8.66        266.28
      6        1         57.54         -8.18        220.72
      5        1         46.10         -6.31        164.18
      4        1         56.43         -5.32        203.90
      3        1         36.11        -11.54        -28.36
      2        1         15.76         -4.87        -13.24
      1        1          6.90         -1.95         -4.49

   振型  21 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          7.83        -21.13        -10.33
     53        1          8.19        -11.54         -7.21
     52        1          5.72         -1.70        134.93
     51        1         -2.29         16.51         53.71
     50        1        -17.35         31.65        -21.06
     49        1        -16.64         25.24        -41.84
     48        1        -14.46         19.32        -55.71
     47        1         -9.77         11.20        -61.71
     46        1         -3.83          3.02        -59.20
     45        1          2.75         -5.52        -49.93
     44        1          9.08        -13.28        -35.52
     43        1         13.76        -19.29        -18.49
     42        1         16.86        -23.83         -1.58
     41        1         16.94        -25.16         13.32
     40        1         15.06        -24.84         24.02
     39        1         10.51        -21.12         30.09
     38        1          4.77        -16.16         31.08
     37        1         -1.70         -9.03         27.94
     36        1         -8.44         -1.74         23.64
     35        1        -13.12          6.11         16.89
     34        1        -16.17         13.32          9.74
     33        1        -16.66         19.04          2.99
     32        1        -15.28         23.40         -2.30
     31        1        -11.71         25.33         -6.20
     30        1         -6.94         25.70         -8.28
     29        1         -1.24         23.41         -8.85
     28        1          4.47         19.68         -8.24
     27        1          9.37         13.90         -6.76
     26        1         13.09          7.36         -5.29
     25        1         14.84          0.07         -3.88
     24        1         14.97         -7.23         -3.23
     23        1         12.91        -13.83         -3.14
     22        1          9.52        -19.62         -3.71
     21        1          4.80        -23.46         -4.77
     20        1         -0.32        -25.88         -5.63
     19        1         -5.30        -25.71         -6.47
     18        1         -9.56        -23.96         -6.08
     17        1        -12.31        -19.78         -5.12
     16        1        -13.61        -14.36         -2.54
     15        1        -12.83         -7.47          0.78
     14        1        -10.64         -0.13          5.08
     13        1         -6.91          7.28          9.68
     12        1         -2.50         14.30         13.83
     11        1          2.26         20.04         17.55
     10        1          6.66         24.64         19.29
      9        1         10.10         26.99         20.01
      8        1         12.36         27.85         18.09
      7        1         12.86         26.22         15.21
      6        1         12.04         23.29         10.49
      5        1          9.66         18.51          5.90
      4        1         11.74         23.72          4.24
      3        1          6.54         30.38          8.09
      2        1          2.86         13.69          3.76
      1        1          1.31          5.87          0.34

   振型  22 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1        -10.86          4.74         91.63
     53        1         -9.23          2.13         88.92
     52        1         20.62         -3.29        304.24
     51        1          8.67         -0.65        264.91
     50        1          3.20         -7.90        134.55
     49        1          0.39         -5.78        -57.21
     48        1         -2.40         -3.33       -211.40
     47        1         -4.86         -1.33       -327.61
     46        1         -5.76          1.85       -392.43
     45        1         -5.78          2.90       -404.88
     44        1         -4.00          5.07       -360.62
     43        1         -1.65          4.81       -270.41
     42        1          1.52          5.06       -143.18
     41        1          4.32          3.88          2.84
     40        1          6.41          2.34        149.15
     39        1          7.35          1.11        278.60
     38        1          6.53         -1.22        371.94
     37        1          4.70         -1.69        421.20
     36        1          0.64         -3.45        441.99
     35        1         -2.57         -3.13        387.99
     34        1         -6.35         -3.82        284.15
     33        1         -8.58         -3.01        154.61
     32        1         -9.94         -2.49          8.80
     31        1         -9.61         -1.64       -135.90
     30        1         -7.54         -0.19       -261.33
     29        1         -4.58          0.36       -361.42
     28        1          0.02          2.08       -413.96
     27        1          4.01          2.08       -427.48
     26        1          8.59          3.33       -387.14
     25        1         11.21          2.80       -313.08
     24        1         13.18          3.09       -201.09
     23        1         12.73          2.28        -72.04
     22        1         10.76          1.51         64.84
     21        1          7.14          0.77        195.24
     20        1          2.01         -0.70        300.61
     19        1         -3.01         -1.03        378.94
     18        1         -8.69         -2.55        410.19
     17        1        -12.35         -2.30        405.19
     16        1        -15.51         -3.21        350.60
     15        1        -15.61         -2.47        265.60
     14        1        -14.42         -2.42        149.74
     13        1        -10.71         -1.54         21.74
     12        1         -5.66         -0.60       -108.46
     11        1          0.15          0.03       -229.56
     10        1          6.62          1.43       -323.80
      9        1         11.58          1.50       -391.73
      8        1         16.22          2.77       -414.91
      7        1         17.70          2.20       -405.91
      6        1         18.17          2.82       -352.97
      5        1         15.37          1.83       -276.95
      4        1         20.44         -3.21       -372.26
      3        1         14.57         -0.68       -310.71
      2        1          6.50         -0.54       -141.67
      1        1          2.85         -0.19        -66.11

   振型  23 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1        -35.36          0.77         -6.28
     53        1        -19.70          6.51         -5.95
     52        1         25.46         14.93       -132.00
     51        1         61.20         18.35       -179.03
     50        1         89.23         18.54       -210.34
     49        1         46.72          3.22       -122.98
     48        1          6.58         -9.27        -38.17
     47        1        -32.33        -19.39         45.06
     46        1        -64.34        -27.01        121.66
     45        1        -80.94        -29.18        181.32
     44        1        -84.29        -28.77        221.43
     43        1        -68.24        -22.42        234.72
     42        1        -41.59        -14.52        220.05
     41        1         -5.16         -3.13        178.38
     40        1         31.73          8.05        110.56
     39        1         61.94         18.50         27.42
     38        1         82.27         27.12        -66.69
     37        1         84.47         31.04       -155.11
     36        1         80.20         34.89       -243.75
     35        1         52.44         30.04       -293.27
     34        1         18.08         23.47       -303.94
     33        1        -19.71         12.87       -282.70
     32        1        -52.69          2.40       -219.66
     31        1        -75.95         -8.90       -133.37
     30        1        -87.25        -18.73        -21.37
     29        1        -82.19        -26.02         95.40
     28        1        -65.05        -31.15        205.90
     27        1        -35.38        -31.46        297.20
     26        1         -1.76        -30.02        349.26
     25        1         32.78        -23.73        367.09
     24        1         61.55        -16.82        330.96
     23        1         79.84         -6.87        259.87
     22        1         86.00          2.58        145.22
     21        1         76.88         12.00         12.63
     20        1         56.78         20.23       -129.02
     19        1         26.14         25.40       -260.56
     18        1         -7.42         29.32       -358.66
     17        1        -40.35         28.45       -421.26
     16        1        -66.23         26.76       -422.01
     15        1        -80.84         20.52       -378.19
     14        1        -82.92         14.14       -276.01
     13        1        -70.81          5.34       -143.65
     12        1        -48.52         -3.25         14.73
     11        1        -17.44        -11.30        175.17
     10        1         15.62        -19.05        314.86
      9        1         46.83        -23.53        426.14
      8        1         70.69        -27.77        478.82
      7        1         83.56        -27.31        487.06
      6        1         84.46        -26.70        429.16
      5        1         72.72        -21.84        336.55
      4        1         93.99        -23.14        438.12
      3        1         70.75        -43.59         -3.15
      2        1         32.36        -19.98         -2.28
      1        1         14.36         -8.52          3.43

   振型  24 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         -0.68          0.37         -2.74
     53        1         -0.15          0.25         -1.80
     52        1         -5.42          3.60        -54.53
     51        1          2.86          1.76         55.77
     50        1          7.46         -1.59        130.44
     49        1          5.31         -1.64         85.19
     48        1          2.48         -2.17         39.97
     47        1         -0.59         -2.14         -6.42
     46        1         -3.34         -1.87        -48.96
     45        1         -5.28         -1.50        -83.14
     44        1         -6.07         -0.68       -103.61
     43        1         -5.52         -0.21       -109.18
     42        1         -3.79          0.68        -97.99
     41        1         -1.24          1.02        -73.07
     40        1          1.68          1.53        -37.36
     39        1          4.24          1.63          3.57
     38        1          6.07          1.57         43.55
     37        1          6.60          1.46         77.45
     36        1          6.17          1.11        105.49
     35        1          4.22          0.85        114.70
     34        1          1.33          0.16        106.92
     33        1         -1.63         -0.16         87.36
     32        1         -4.49         -0.74         56.04
     31        1         -6.42         -1.01         19.30
     30        1         -7.39         -1.23        -19.27
     29        1         -7.00         -1.35        -55.32
     28        1         -5.37         -1.15        -82.72
     27        1         -2.85         -1.09       -100.91
     26        1          0.34         -0.59       -104.67
     25        1          3.32         -0.40        -97.85
     24        1          6.08          0.14        -78.08
     23        1          7.64          0.36        -50.69
     22        1          8.22          0.71        -17.16
     21        1          7.28          0.89         17.71
     20        1          5.22          0.91         49.47
     19        1          2.29          0.99         75.94
     18        1         -1.20          0.73         91.88
     17        1         -4.34          0.71         98.50
     16        1         -7.12          0.32         92.15
     15        1         -8.48          0.23         76.77
     14        1         -8.82         -0.11         52.01
     13        1         -7.52         -0.23         22.57
     12        1         -5.21         -0.39         -9.24
     11        1         -1.98         -0.52        -39.99
     10        1          1.66         -0.48        -65.48
      9        1          4.94         -0.61        -84.84
      8        1          7.79         -0.43        -93.84
      7        1          9.18         -0.56        -94.53
      6        1          9.61         -0.35        -84.35
      5        1          8.34         -0.43        -67.65
      4        1         11.12         -2.03        -93.30
      3        1          8.40         -2.25       -100.97
      2        1          3.83         -1.11        -46.72
      1        1          1.70         -0.46        -21.67

   各振型作用下 X 方向的基底剪力
   -------------------------------------------------------
            振型号       剪力(kN)
               1       3804.47
               2        856.84
               3         35.59
               4       1586.77
               5        360.76
               6         71.15
               7       1040.01
               8         18.95
               9        234.90
              10        788.99
              11          3.21
              12        549.35
              13         60.89
              14        356.44
              15        113.53
              16         15.67
              17          0.33
              18         49.81
              19        102.38
              20        281.36
              21         54.24
              22         84.51
              23        379.15
              24         43.51

   X向地震作用参与振型的有效质量系数
   -------------------------------------------------------
            振型号       有效质量系数(%)
               1         58.19
               2         12.16
               3          0.49
               4         12.63
               5          2.30
               6          0.45
               7          4.28
               8          0.06
               9          0.73
              10          2.11
              11          0.01
              12          1.35
              13          0.15
              14          0.79
              15          0.25
              16          0.03
              17          0.00
              18          0.09
              19          0.19
              20          0.52
              21          0.10
              22          0.13
              23          0.54
              24          0.06

   各层 X 方向的作用力(CQC)
   Floor    : 层号
   Tower    : 塔号
   Fx       : X 向地震作用下结构的地震反应力
   Vx       : X 向地震作用下结构的楼层剪力
   Mx       : X 向地震作用下结构的弯矩
   Static Fx: 底部剪力法 X 向的地震力
   ------------------------------------------------------------------------------------------
   Floor     Tower        Fx           Vx (分塔剪重比) (整层剪重比)      Mx        Static Fx
                         (kN)         (kN)                             (kN-m)         (kN)

                     (注意:下面分塔输出的剪重比不适合于上连多塔结构)

     54        1        127.02        127.02( 11.91%)    ( 11.91%)        393.77       1311.97
     53        1        125.84        251.24(  9.49%)    (  9.49%)       1170.97         23.98
     52        1        178.61        403.51(  6.62%)    (  6.62%)       2388.62         51.28
     51        1        220.51        580.77(  5.11%)    (  5.11%)       4123.46         77.05
     50        1        307.64        819.66(  4.14%)    (  4.14%)       6377.79        120.80
     49        1        255.60       1031.48(  3.71%)    (  3.71%)       9242.59        111.91
     48        1        232.32       1218.37(  3.39%)    (  3.39%)      12664.18        111.64
     47        1        214.75       1375.31(  3.13%)    (  3.13%)      16550.70        107.53
     46        1        217.53       1514.38(  2.91%)    (  2.91%)      20828.36        107.19
     45        1        219.80       1638.64(  2.73%)    (  2.73%)      25433.62        103.16
     44        1        228.23       1758.42(  2.58%)    (  2.58%)      30332.25        102.74
     43        1        225.07       1872.33(  2.46%)    (  2.46%)      35501.06         98.78
     42        1        225.79       1984.18(  2.36%)    (  2.36%)      40930.77         98.28
     41        1        219.62       2089.37(  2.27%)    (  2.27%)      46611.56         94.41
     40        1        223.75       2191.51(  2.19%)    (  2.19%)      52539.07         93.83
     39        1        223.52       2288.36(  2.11%)    (  2.11%)      58703.09         90.03
     38        1        230.16       2384.81(  2.05%)    (  2.05%)      65102.24         89.38
     37        1        225.96       2478.30(  1.99%)    (  1.99%)      71732.05         85.66
     36        1        242.77       2579.37(  1.94%)    (  1.94%)      78599.84         91.86
     35        1        233.35       2677.37(  1.89%)    (  1.89%)      85709.33         88.53
     34        1        230.27       2772.22(  1.84%)    (  1.84%)      93060.38         87.05
     33        1        227.28       2861.66(  1.80%)    (  1.80%)     100651.72         83.76
     32        1        232.05       2947.98(  1.75%)    (  1.75%)     108475.91         82.23
     31        1        233.75       3031.05(  1.72%)    (  1.72%)     116526.94         79.00
     30        1        237.51       3113.28(  1.68%)    (  1.68%)     124799.21         77.42
     29        1        234.31       3193.49(  1.64%)    (  1.64%)     133287.20         74.23
     28        1        233.94       3271.78(  1.61%)    (  1.61%)     141983.20         72.60
     27        1        230.87       3346.44(  1.58%)    (  1.58%)     150889.88         69.47
     26        1        235.51       3418.83(  1.55%)    (  1.55%)     159994.00         67.78
     25        1        238.44       3489.29(  1.52%)    (  1.52%)     169288.25         64.70
     24        1        245.40       3559.86(  1.50%)    (  1.50%)     178773.39         62.97
     23        1        244.22       3629.58(  1.47%)    (  1.47%)     188438.75         59.93
     22        1        242.74       3699.79(  1.45%)    (  1.45%)     198285.72         58.15
     21        1        233.73       3767.03(  1.43%)    (  1.43%)     208309.70         55.17
     20        1        230.35       3830.41(  1.40%)    (  1.40%)     218506.41         53.34
     19        1        228.21       3888.48(  1.38%)    (  1.38%)     228867.98         50.40
     18        1        237.13       3942.92(  1.36%)    (  1.36%)     239390.34         48.52
     17        1        245.19       3994.70(  1.34%)    (  1.34%)     250061.88         45.64
     16        1        256.03       4046.83(  1.31%)    (  1.31%)     260875.66         43.70
     15        1        256.78       4099.84(  1.30%)    (  1.30%)     271830.78         40.87
     14        1        256.72       4154.18(  1.28%)    (  1.28%)     282918.47         38.89
     13        1        250.22       4207.71(  1.26%)    (  1.26%)     294134.69         36.10
     12        1        252.20       4260.51(  1.24%)    (  1.24%)     305478.34         34.07
     11        1        256.62       4312.03(  1.23%)    (  1.23%)     316945.34         31.34
     10        1        271.51       4365.20(  1.21%)    (  1.21%)     328535.47         29.26
      9        1        279.79       4421.87(  1.20%)    (  1.20%)     340250.97         26.57
      8        1        284.06       4484.10(  1.19%)    (  1.19%)     352091.34         24.44
      7        1        267.20       4549.13(  1.18%)    (  1.18%)     364056.34         21.80
      6        1        237.23       4612.81(  1.17%)    (  1.17%)     376157.28         19.62
      5        1        185.70       4666.57(  1.16%)    (  1.16%)     388387.69         17.04
      4        1        225.70       4737.02(  1.13%)    (  1.13%)     410722.53         26.37
      3        1        143.62       4780.37(  0.98%)    (  0.98%)     432830.53         79.22
      2        1         62.77       4799.51(  0.88%)    (  0.88%)     449472.91         42.67
      1        1         27.48       4807.97(  0.79%)    (  0.79%)     466271.31         21.34


       抗震规范(5.2.5)条要求的X向楼层最小剪重比 =   1.42%

