   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
      8        1          2.86         -4.40        -22.99
      7        1          2.20         -3.40        -17.48
      6        1          1.66         -2.50        -12.19
      5        1          1.11         -1.69         -7.86
      4        1          1.18         -1.96         -8.76
      3        1          0.56         -1.50         -6.66
      2        1          0.19         -0.50         -2.48
      1        1          0.07         -0.18         -1.02

   振型   3 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          0.14         -0.98          3.38
     53        1          0.16         -1.42          4.88
     52        1          1.57         -2.68         47.94
     51        1          1.66         -2.73         90.77
     50        1          0.44         -8.33        171.19
     49        1          1.04         -6.96        161.40
     48        1          0.95         -7.28        158.19
     47        1          1.06         -6.67        155.94
     46        1          0.97         -6.96        152.61
     45        1          1.08         -6.36        150.17
     44        1          0.99         -6.63        146.67
     43        1          1.09         -6.04        144.01
     42        1          1.00         -6.28        140.34
     41        1          1.09         -5.71        137.47
     40        1          1.00         -5.93        133.63
     39        1          1.08         -5.37        130.57
     38        1          1.00         -5.56        126.59
     37        1          1.06         -5.03        123.37
     36        1          0.86         -5.52        126.93
     35        1          0.97         -5.05        124.25
     34        1          0.85         -5.14        119.06
     33        1          0.95         -4.69        116.22
     32        1          0.83         -4.76        111.03
     31        1          0.92         -4.33        108.03
     30        1          0.81         -4.38        102.83
     29        1          0.89         -3.97         99.66
     28        1          0.78         -4.01         94.47
     27        1          0.84         -3.62         91.14
     26        1          0.74         -3.63         85.99
     25        1          0.79         -3.26         82.54
     24        1          0.69         -3.26         77.42
     23        1          0.73         -2.91         73.85
     22        1          0.64         -2.90         68.80
     21        1          0.67         -2.57         65.14
     20        1          0.58         -2.53         60.18
     19        1          0.60         -2.23         56.46
     18        1          0.52         -2.18         51.63
     17        1          0.52         -1.90         47.87
     16        1          0.44         -1.83         43.21
     15        1          0.44         -1.58         39.49
     14        1          0.37         -1.50         35.06
     13        1          0.36         -1.27         31.43
     12        1          0.29         -1.18         27.26
     11        1          0.27         -0.98         23.76
     10        1          0.21         -0.88         19.92
      9        1          0.19         -0.71         16.64
      8        1          0.14         -0.61         13.20
      7        1          0.11         -0.46         10.23
      6        1          0.07         -0.36          7.31
      5        1          0.05         -0.24          4.85
      4        1          0.04         -0.19          5.56
      3        1          0.02         -0.20          1.89
      2        1          0.01         -0.06          0.64
      1        1          0.00         -0.02          0.29

   振型   4 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1        -23.44         -9.19         -8.10
     53        1        -32.27        -12.44        -11.19
     52        1        -67.34        -25.17       -106.70
     51        1        -94.10        -37.98       -188.01
     50        1       -134.26        -47.13       -331.15
     49        1       -117.63        -41.38       -292.72
     48        1       -108.72        -36.80       -266.12
     47        1        -96.13        -32.04       -240.90
     46        1        -86.23        -27.33       -213.04
     45        1        -73.32        -22.56       -186.05
     44        1        -62.46        -17.79       -157.05
     43        1        -49.42        -13.09       -128.60
     42        1        -37.82         -8.35        -98.93
     41        1        -24.97         -3.83        -69.65
     40        1        -12.99          0.74        -40.09
     39        1         -0.74          4.95        -10.84
     38        1         11.18          9.19         17.69
     37        1         22.38         12.96         45.90
     36        1         36.30         18.12         77.00
     35        1         46.88         21.67        105.42
     34        1         57.49         25.00        129.81
     33        1         66.47         27.99        155.54
     32        1         75.69         30.70        175.78
     31        1         82.97         33.13        198.08
     30        1         90.75         35.22        213.83
     29        1         96.26         37.04        232.15
     28        1        102.40         38.48        243.00
     27        1        106.02         39.67        256.79
     26        1        110.39         40.43        262.51
     25        1        112.12         40.98        271.57
     24        1        114.70         41.10        272.29
     23        1        114.56         41.03        276.49
     22        1        115.32         40.51        272.31
     21        1        113.34         39.83        271.62
     20        1        112.29         38.71        262.81
     19        1        108.59         37.47        257.40
     18        1        105.81         35.81        244.43
     17        1        100.55         34.06        234.66
     16        1         96.19         31.95        218.15
     15        1         89.61         29.78        204.60
     14        1         83.93         27.33        185.43
     13        1         76.36         24.86        169.01
     12        1         69.64         22.19        148.25
     11        1         61.40         19.54        129.94
     10        1         53.96         16.79        108.78
      9        1         45.45         14.11         89.90
      8        1         37.74         11.46         69.82
      7        1         29.50          8.93         52.08
      6        1         22.13          6.57         35.01
      5        1         14.90          4.43         20.77
      4        1         15.74          4.99         19.96
      3        1          6.38          3.10        -18.86
      2        1          2.28          1.10         -7.10
      1        1          0.93          0.45         -3.09

   振型   5 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         -3.78          7.54         18.03
     53        1         -5.68         10.13         24.87
     52        1         -5.76         21.49        229.22
     51        1        -12.08         36.08        414.62
     50        1        -27.95         34.81        736.64
     49        1        -22.10         32.51        648.43
     48        1        -21.14         28.06        588.01
     47        1        -18.47         25.09        529.90
     46        1        -17.15         20.69        466.75
     45        1        -14.45         17.54        405.20
     44        1        -12.78         13.26        339.81
     43        1        -10.10          9.99        275.77
     42        1         -8.13          5.93        209.44
     41        1         -5.55          2.63        144.47
     40        1         -3.36         -1.09         78.99
     39        1         -0.97         -4.30         15.05
     38        1          1.35         -7.56        -47.48
     37        1          3.46        -10.57       -108.16
     36        1          6.53        -14.45       -175.94
     35        1          8.42        -17.37       -235.51
     34        1         10.86        -19.55       -286.85
     33        1         12.33        -22.12       -339.82
     32        1         14.63        -23.68       -381.85
     31        1         15.68        -25.90       -427.22
     30        1         17.81        -26.88       -459.77
     29        1         18.47        -28.74       -496.82
     28        1         20.39        -29.14       -519.27
     27        1         20.65        -30.58       -547.05
     26        1         22.30        -30.44       -559.03
     25        1         22.17        -31.45       -577.27
     24        1         23.52        -30.80       -579.19
     23        1         23.03        -31.38       -587.77
     22        1         24.04        -30.26       -579.87
     21        1         23.20        -30.40       -578.82
     20        1         23.85        -28.86       -561.66
     19        1         22.69        -28.57       -551.33
     18        1         22.95        -26.69       -525.84
     17        1         21.50        -25.99       -506.98
     16        1         21.37        -23.84       -474.40
     15        1         19.69        -22.78       -448.17
     14        1         19.19        -20.46       -410.28
     13        1         17.34        -19.11       -378.35
     12        1         16.49        -16.72       -336.93
     11        1         14.52        -15.16       -300.92
     10        1         13.34        -12.79       -257.94
      9        1         11.30        -11.10       -219.90
      8        1          9.87         -8.87       -177.72
      7        1          7.84         -7.17       -140.27
      6        1          6.25         -5.22       -101.86
      5        1          4.36         -3.68        -68.60
      4        1          4.93         -5.23        -80.22
      3        1          2.53         -3.87        -48.24
      2        1          0.94         -1.51        -18.72
      1        1          0.37         -0.60         -8.15

   振型   6 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         -0.76          5.34         -5.40
     53        1         -1.02          7.23         -7.56
     52        1         -4.02         13.80        -71.46
     51        1         -4.72         17.49       -130.16
     50        1         -4.09         30.83       -231.65
     49        1         -4.47         25.49       -205.72
     48        1         -4.15         23.64       -188.36
     47        1         -3.95         20.14       -171.53
     46        1         -3.59         18.03       -152.92
     45        1         -3.30         14.62       -134.61
     44        1         -2.89         12.27       -114.85
     43        1         -2.51          9.00        -95.31
     42        1         -2.06          6.46        -74.82
     41        1         -1.61          3.42        -54.62
     40        1         -1.12          0.80        -34.06
     39        1         -0.62         -1.90        -13.94
     38        1         -0.11         -4.50          5.85
     37        1          0.41         -6.76         24.97
     36        1          0.89         -9.88         45.66
