
     **********************************************************
                                 ¸÷²ã¸÷ËþµÄ¹æ¶¨Ë®Æ½Á¦
     **********************************************************

  ²ãºÅ   ËþºÅ        XÏò(KN)         YÏò(KN)
   46     1          1243.2          1233.8
   45     1           505.4           606.3
   44     1          1015.9          1200.4
   43     1           640.6           748.8
   42     1           541.1           613.4
   41     1           489.5           505.0
   40     1           475.4           430.9
   39     1           474.0           390.3
   38     1           465.9           376.1
   37     1           470.9           396.3
   36     1           454.4           403.2
   35     1           436.2           402.2
   34     1           513.3           479.9
   33     1           626.7           580.7
   32     1           581.6           524.3
   31     1           394.1           352.4
   30     1           361.3           323.8
   29     1           346.9           314.4
   28     1           329.9           303.7
   27     1           313.3           291.7
   26     1           300.1           279.7
   25     1           291.8           269.5
   24     1           287.0           262.1
   23     1           347.8           317.5
   22     1           417.1           387.9
   21     1           379.2           358.7
   20     1           262.3           245.7
   19     1           245.8           226.8
   18     1           237.4           218.8
   17     1           224.2           212.3
   16     1           208.5           207.9
   15     1           194.3           205.0
   14     1           184.8           201.8
   13     1           179.8           196.0
   12     1           217.5           230.6
   11     1           168.0           177.0
   10     1           147.5           162.3
    9     1           132.9           163.0
    8     1           125.8           175.9
    7     1           217.7           322.0
    6     1           242.5           346.0
    5     1           188.2           235.8
    4     1           587.9           587.9
    3     1             0.0             0.0
    2     1             0.0             0.0
    1     1             0.0             0.0

     **********************************************************
              ¹æ¶¨Ë®Æ½Á¦ÏÂ¿ò¼ÜÖù¡¢¶ÌÖ«Ç½µØÕðÇã¸²Á¦¾Ø
     **********************************************************

  ²ãºÅ   ËþºÅ         ¿ò¼ÜÖù     ¶ÌÖ«Ç½       ÆÕÍ¨Ç½       Ð±³Å       ºÏ¼Æ
   18     1    Y      390776.8  1451283.6        26.93%
   17     1    Y      402945.9  1533674.3        26.27%
   16     1    Y      414832.2  1617705.0        25.64%
   15     1    Y      426466.6  1703308.6        25.04%
   14     1    Y      437027.2  1790417.1        24.41%
   13     1    Y      452046.4  1878961.8        24.06%
   12     1    Y      466223.0  2008283.8        23.21%
   11     1    Y      475273.8  2106715.3        22.56%
   10     1    Y      485127.2  2206562.5        21.99%
    9     1    Y      494589.9  2307660.3        21.43%
    8     1    Y      502761.1  2409883.5        20.86%
    7     1    Y      513119.8  2618417.3        19.60%
    6     1    Y      523695.1  2723463.5        19.23%
    5     1    Y      535646.6  2829102.3        18.93%
    4     1    Y      575565.0  3125987.3        18.41%
    3     1    Y      545010.5  2766032.3        19.70%
    2     1    Y      552840.9  2720222.5        20.32%
    1     1    Y      552341.7  2700230.5        20.46%

     **********************************************************
                      ¿ò¼ÜÖù¡¢¼ôÁ¦Ç½·ç¼ôÁ¦°Ù·Ö±È
     **********************************************************

  ²ãºÅ   ËþºÅ           Öù¼ôÁ¦     Ç½¼ôÁ¦     ÆäËü       ×Ü¼ôÁ¦    Öù¼ôÁ¦°Ù·Ö±È    Ç½¼ôÁ¦°Ù·Ö±È
   46     1    X      1373.2     -787.2        0.0      586.0      234.32%         134.32%
   45     1    X      1541.3     -247.3        0.0     1294.0      119.11%          19.11%
   44     1    X      2129.2     -171.4        0.0     1957.8      108.75%           8.75%
   43     1    X      1825.6      778.7        0.0     2604.3       70.10%          29.90%
   42     1    X      1974.2     1269.0        0.0     3243.2       60.87%          39.13%
   41     1    X      2051.4     1823.0        0.0     3874.4       52.95%          47.05%
   40     1    X      2144.0     2354.0        0.0     4498.0       47.67%          52.33%
   39     1    X      2230.0     2883.6        0.0     5113.6       43.61%          56.39%
   38     1    X      2340.3     3379.9        0.0     5720.2       40.91%          59.09%
   37     1    X      2310.4     4008.3        0.0     6318.6       36.56%          63.44%
   36     1    X      2262.7     4647.7        0.0     6910.4       32.74%          67.26%
   35     1    X      3322.9     4173.4        0.0     7496.3       44.33%          55.67%
   34     1    X      1946.6     6162.5        0.0     8109.1       24.01%          75.99%
   33     1    X      1842.4     7578.3        0.0     9420.8       19.56%          80.44%
   32     1    X      4254.1     5720.8        0.0     9974.9       42.65%          57.35%
   31     1    X      2664.0     7844.0        0.0    10508.1       25.35%          74.65%
   30     1    X      2952.8     8079.1        0.0    11031.9       26.77%          73.23%
   29     1    X      2941.3     8605.9        0.0    11547.2       25.47%          74.53%
   28     1    X      2977.3     9075.9        0.0    12053.2       24.70%          75.30%
   27     1    X      2992.4     9557.3        0.0    12549.7       23.84%          76.16%
   26     1    X      3062.2     9974.0        0.0    13036.2       23.49%          76.51%
   25     1    X      2838.1    10673.4        0.0    13511.5       21.01%          78.99%
   24     1    X      4231.2     9747.4        0.0    13978.7       30.27%          69.73%
   23     1    X      2435.3    11869.7        0.0    14305.0       17.02%          82.98%
   22     1    X      2058.2    13419.8        0.0    15478.0       13.30%          86.70%
   21     1    X      4410.0    11474.3        0.0    15884.3       27.76%          72.24%
   20     1    X      2699.4    13595.7        0.0    16295.1       16.57%          83.43%
   19     1    X      2973.1    13713.0        0.0    16686.2       17.82%          82.18%
   18     1    X      2898.7    14167.0        0.0    17065.7       16.99%          83.01%
   17     1    X      2884.7    14548.5        0.0    17433.2       16.55%          83.45%
   16     1    X      2852.4    14935.1        0.0    17787.6       16.04%          83.96%
   15     1    X      2844.4    15283.4        0.0    18127.8       15.69%          84.31%
   14     1    X      2675.0    15777.2        0.0    18452.2       14.50%          85.50%
   13     1    X      3603.0    15155.3        0.0    18758.3       19.21%          80.79%
   12     1    X      2654.7    16337.6        0.0    18992.3       13.98%          86.02%
