     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况27 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
   10     1    10000012     33.65    28.53         4500
               10000012      4.78     4.11       1/ 941      4.72%    0.74
    9     1     9000012     28.88    24.43         4500
                9000012      4.60     3.92       1/ 978      5.09%    0.75
    8     1     8000012     24.30    20.53         4500
                8000012      4.40     3.72       1/1023      8.40%    0.75
    7     1     7000012     19.91    16.82         9000
                7000012      8.14     6.83       1/1106     15.76%    0.72
    6     1     6000006     11.79    10.01         4500
                6000012      3.43     2.88       1/1312     14.55%    0.65
    5     1     5000006      8.36     7.14         4500
                5000012      2.92     2.46       1/1542     35.46%    0.66
    4     1     4000012      5.14     4.41        12500
                4000012      5.14     4.41       1/2434    100.00%    0.50
    3     1     3000369      0.00     0.00         6700
                3000369      0.00     0.00       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000148      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000143      0.00     0.00         3900
                1000143      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/710  (33层1塔)

  === 工况28 === X 双向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   46     1    46000006    241.05   227.16         3700
               46000006      3.31     3.17       1/1118      8.18%    1.00
   45     1    45000012    237.82   224.04         4550
               45000006      4.36     4.22       1/1044      4.59%    0.83
   44     1    44000006    233.59   219.91         4200
               44000006      4.21     4.08       1/ 998      4.66%    0.91
   43     1    43000012    229.53   215.96         4200
               43000006      4.42     4.27       1/ 951      4.35%    0.92
   42     1    42000012    225.28   211.83         4200
               42000012      4.62     4.45       1/ 909      4.10%    0.91
   41     1    41000012    220.86   207.54         4200
               41000012      4.82     4.63       1/ 872      3.79%    0.91
   40     1    40000012    216.25   203.08         4200
               40000006      5.01     4.81       1/ 838      3.36%    0.90
   39     1    39000012    211.46   198.45         4200
               39000012      5.19     4.97       1/ 810      2.63%    0.89
   38     1    38000006    206.50   193.66         4200
               38000006      5.32     5.10       1/ 789      1.28%    0.88
   37     1    37000012    201.40   188.73         4200
               37000006      5.37     5.17       1/ 782      2.37%    0.87
   36     1    36000006    196.23   183.73         4200
               36000006      5.50     5.29       1/ 763      2.23%    0.87
   35     1    35000006    190.94   178.61         4200
               35000012      5.63     5.41       1/ 746      4.08%    0.87
   34     1    34000012    185.52   173.37         6000
               34000006      8.38     8.04       1/ 716      1.95%    0.89
   33     1    33000006    177.46   165.57         8400
               33000010     11.98    11.48       1/ 701      1.26%    0.88
   32     1    32000012    165.92   154.43         4200
               32000006      5.90     5.66       1/ 712      0.42%    0.84
   31     1    31000012    160.21   148.92         4200
               31000012      5.93     5.69       1/ 709      0.28%    0.84
   30     1    30000006    154.48   143.38         4200
               30000006      5.94     5.70       1/ 707      0.40%    0.83
   29     1    29000012    148.72   137.82         4200
               29000006      5.96     5.72       1/ 705      0.34%    0.84
   28     1    28000006    142.93   132.23         4200
               28000006      5.97     5.74       1/ 703      0.25%    0.84
   27     1    27000006    137.12   126.61         4200
               27000012      5.98     5.75       1/ 702      0.12%    0.84
   26     1    26000012    131.29   120.97         4200
               26000012      5.98     5.76       1/ 702      0.08%    0.84
   25     1    25000012    125.45   115.32         4200
               25000012      5.97     5.76       1/ 703      0.60%    0.83
   24     1    24000006    119.61   109.67         4200
               24000006      5.91     5.72       1/ 710      0.10%    0.83
   23     1    23000012    113.81   104.04         6000
               23000012      8.44     8.18       1/ 711      1.29%    0.83
   22     1    22000012    105.54    95.99         8400
               22000006     11.68    11.32       1/ 719      3.78%    0.82
   21     1    21000012     94.06    84.83         4200
               21000006      5.65     5.44       1/ 744      1.42%    0.80
   20     1    20000006     88.50    79.46         4200
               20000012      5.60     5.36       1/ 750      1.53%    0.80
   19     1    19000012     82.98    74.16         4200
               19000006      5.54     5.28       1/ 758      1.56%    0.80
   18     1    18000012     77.51    68.94         4200
               18000006      5.48     5.20       1/ 767      1.68%    0.81
   17     1    17000006     72.10    63.80         4200
               17000012      5.41     5.11       1/ 776      1.87%    0.81
   16     1    16000006     66.75    58.74         4200
               16000012      5.34     5.01       1/ 786      2.16%    0.80
   15     1    15000012     61.46    53.77         4200
               15000006      5.26     4.91       1/ 798      2.57%    0.80
   14     1    14000012     56.24    48.90         4200
               14000012      5.17     4.78       1/ 812      3.52%    0.79
   13     1    13000012     51.10    44.15         4200
               13000006      5.04     4.61       1/ 833      4.12%    0.78
   12     1    12000012     46.09    39.57         6000
               12000012      7.04     6.33       1/ 852      7.94%    0.77
   11     1    11000012     39.09    33.27         4500
               11000012      5.03     4.38       1/ 895      4.64%    0.74
   10     1    10000006     34.09    28.92         4500
               10000012      4.85     4.17       1/ 928      4.74%    0.74
    9     1     9000012     29.26    24.77         4500
                9000006      4.66     3.97       1/ 966      5.10%    0.75
    8     1     8000012     24.61    20.81         4500
                8000006      4.46     3.77       1/1009      8.41%    0.75
    7     1     7000006     20.17    17.04         9000
                7000006      8.24     6.92       1/1092     15.79%    0.72
    6     1     6000012     11.94    10.14         4500
                6000006      3.47     2.91       1/1296     14.54%    0.65
    5     1     5000012      8.47     7.23         4500
                5000012      2.96     2.49       1/1523     35.45%    0.66
    4     1     4000012      5.20     4.47        12500
                4000012      5.20     4.47       1/2404    100.00%    0.50
    3     1     3000369      0.00     0.00         6700
                3000369      0.00     0.00       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000148      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000143      0.00     0.00         3900
                1000143      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/701  (33层1塔)

  === 工况22 === X+ 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   46     1    46000006    254.32   224.40         3700
               46000006      3.37     3.13       1/1098      8.15%    1.00
   45     1    45000006    251.03   221.32         4550
               45000006      4.48     4.18       1/1015      4.57%    0.83
   44     1    44000006    246.70   217.25         4200
               44000012      4.34     4.03       1/ 968      4.69%    0.91
   43     1    43000012    242.53   213.34         4200
               43000006      4.57     4.21       1/ 920      4.33%    0.92
   42     1    42000012    238.17   209.28         4200
               42000006      4.78     4.40       1/ 878      4.08%    0.91
   41     1    41000006    233.60   205.05         4200
               41000012      5.00     4.58       1/ 840      3.78%    0.91
   40     1    40000006    228.84   200.65         4200
               40000012      5.21     4.75       1/ 806      3.36%    0.90
   39     1    39000006    223.88   196.08         4200
               39000012      5.40     4.91       1/ 778      2.64%    0.89
   38     1    38000006    218.74   191.36         4200
               38000012      5.55     5.04       1/ 757      1.21%    0.88
   37     1    37000012    213.44   186.51         4200
               37000012      5.61     5.10       1/ 749      2.36%    0.87
   36     1    36000012    208.07   181.58         4200
               36000006      5.75     5.22       1/ 731      2.21%    0.87
   35     1    35000012    202.56   176.54         4200
               35000012      5.88     5.34       1/ 714      4.03%    0.87
   34     1    34000012    196.92   171.37         6000
               34000006      8.78     7.93       1/ 684      1.86%    0.89
   33     1    33000010    188.51   163.69         8400
               33000010     12.57    11.32       1/ 668      1.11%    0.88
   32     1    32000006    176.43   152.72         4200
               32000006      6.18     5.58       1/ 680      0.37%    0.85
   31     1    31000006    170.48   147.30         4200
               31000012      6.21     5.60       1/ 677      0.30%    0.84
   30     1    30000012    164.49   141.84         4200
               30000006      6.22     5.62       1/ 675      0.39%    0.83
   29     1    29000012    158.46   136.37         4200
               29000012      6.25     5.64       1/ 672      0.34%    0.84
   28     1    28000006    152.41   130.86         4200
               28000012      6.27     5.66       1/ 670      0.25%    0.84
   27     1    27000006    146.32   125.33         4200
               27000012      6.29     5.67       1/ 668      0.12%    0.84
   26     1    26000012    140.20   119.78         4200
               26000006      6.30     5.68       1/ 667      0.08%    0.84
   25     1    25000006    134.07   114.22         4200
               25000006      6.29     5.67       1/ 668      0.63%    0.83
   24     1    24000006    127.93   108.65         4200
               24000006      6.23     5.64       1/ 674      0.03%    0.83
   23     1    23000006    121.83   103.11         6000
               23000006      8.93     8.06       1/ 672      1.47%    0.83
   22     1    22000006    113.08    95.18         8400
               22000012     12.38    11.15       1/ 678      3.57%    0.82
   21     1    21000012    100.92    84.20         4200
               21000012      5.97     5.36       1/ 703      1.41%    0.80
   20     1    20000012     95.05    78.91         4200
               20000012      5.93     5.29       1/ 708      1.48%    0.80
   19     1    19000006     89.20    73.68         4200
               19000012      5.87     5.21       1/ 716      1.52%    0.80
   18     1    18000006     83.41    68.54         4200
               18000006      5.81     5.13       1/ 723      1.63%    0.81
   17     1    17000012     77.68    63.46         4200
               17000012      5.75     5.04       1/ 731      1.81%    0.81
   16     1    16000012     71.99    58.47         4200
               16000006      5.68     4.95       1/ 739      2.08%    0.81
   15     1    15000012     66.37    53.56         4200
               15000012      5.61     4.85       1/ 749      2.47%    0.80
   14     1    14000012     60.81    48.75         4200
               14000012      5.52     4.73       1/ 761      3.38%    0.80
   13     1    13000006     55.33    44.05         4200
               13000006      5.39     4.57       1/ 780      4.05%    0.79
   12     1    12000012     49.98    39.51         6000
               12000012      7.56     6.29       1/ 794      7.70%    0.77
   11     1    11000006     42.47    33.26         4500
               11000006      5.42     4.36       1/ 831      4.39%    0.74
   10     1    10000006     37.08    28.92         4500
               10000006      5.23     4.16       1/ 860      4.65%    0.74
    9     1     9000012     31.87    24.77         4500
                9000012      5.04     3.97       1/ 893      5.03%    0.75
    8     1     8000012     26.84    20.82         4500
                8000006      4.83     3.77       1/ 931      8.33%    0.75
    7     1     7000012     22.02    17.06         9000
                7000006      8.98     6.92       1/1002     15.69%    0.73
    6     1     6000006     13.06    10.15         4500
                6000006      3.79     2.92       1/1189     14.54%    0.65
    5     1     5000006      9.28     7.24         4500
                5000006      3.22     2.50       1/1396     35.54%    0.66
    4     1     4000006      5.71     4.47        12500
                4000006      5.71     4.47       1/2187    100.00%    0.50
    3     1     3000369      0.00     0.00         6700
                3000369      0.00     0.00       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000148      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000143      0.00     0.00         3900
                1000143      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/667  (26层1塔)

  === 工况23 === X- 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   46     1    46000011    226.25   223.65         3700
               46000012      3.16     3.12       1/1173      8.27%    1.00
   45     1    45000011    223.21   220.58         4550
               45000011      4.19     4.16       1/1085      4.66%    0.83
   44     1    44000011    219.09   216.52         4200
               44000011      4.07     4.02       1/1032      4.65%    0.91
   43     1    43000011    215.13   212.62         4200
               43000011      4.26     4.21       1/ 986      4.38%    0.92
   42     1    42000011    211.00   208.55         4200
               42000011      4.45     4.39       1/ 944      4.11%    0.91
   41     1    41000011    206.69   204.31         4200
               41000005      4.64     4.58       1/ 906      3.80%    0.91
   40     1    40000005    202.21   199.91         4200
               40000011      4.81     4.75       1/ 873      3.36%    0.90
   39     1    39000005    197.56   195.33         4200
               39000005      4.98     4.91       1/ 844      2.62%    0.89
   38     1    38000005    192.74   190.61         4200
               38000005      5.12     5.04       1/ 821      1.34%    0.88
   37     1    37000005    187.78   185.75         4200
               37000005      5.20     5.10       1/ 807      2.36%    0.87
   36     1    36000011    182.72   180.81         4200
               36000005      5.33     5.22       1/ 788      2.24%    0.87
   35     1    35000005    177.54   175.75         4200
               35000005      5.45     5.34       1/ 771      4.14%    0.87
   34     1    34000005    172.23   170.58         6000
               34000005      8.14     7.95       1/ 738      2.02%    0.89
   33     1    33000005    164.30   162.88         8400
               33000005     11.61    11.34       1/ 724      1.43%    0.88
   32     1    32000011    152.98   151.87         4200
               32000011      5.71     5.59       1/ 736      0.45%    0.84
   31     1    31000005    147.39   146.43         4200
               31000005      5.75     5.61       1/ 731      0.26%    0.83
   30     1    30000011    141.76   140.96         4200
               30000011      5.77     5.63       1/ 728      0.39%    0.83
   29     1    29000011    136.11   135.47         4200
               29000005      5.80     5.65       1/ 725      0.34%    0.84
   28     1    28000011    130.42   129.95         4200
               28000005      5.83     5.67       1/ 721      0.25%    0.84
   27     1    27000005    124.69   124.40         4200
               27000011      5.85     5.68       1/ 718      0.11%    0.84
   26     1    26000005    118.94   118.79         4200
               26000011      5.87     5.69       1/ 716      0.09%    0.84
   25     1    25000006    113.36   113.21         4200
               25000011      5.88     5.68       1/ 714      0.56%    0.83
   24     1    24000012    107.99   107.68         4200
               24000011      5.87     5.65       1/ 715      0.18%    0.83
   23     1    23000006    102.67   102.12         6000
               23000005      8.46     8.08       1/ 709      1.12%    0.83
   22     1    22000012     95.11    94.16         8400
               22000011     11.72    11.18       1/ 717      4.00%    0.82
   21     1    21000006     84.65    83.14         4200
               21000005      5.58     5.37       1/ 753      1.45%    0.79
   20     1    20000006     79.57    77.84         4200
               20000011      5.47     5.29       1/ 767      1.58%    0.80
   19     1    19000006     74.53    72.61         4200
               19000011      5.37     5.21       1/ 782      1.60%    0.80
   18     1    18000012     69.54    67.46         4200
               18000005      5.26     5.13       1/ 798      1.73%    0.81
   17     1    17000006     64.61    62.39         4200
               17000005      5.15     5.04       1/ 815      1.94%    0.81
   16     1    16000006     59.74    57.40         4200
               16000005      5.03     4.94       1/ 835      2.25%    0.80
   15     1    15000006     54.94    52.50         4200
               15000011      4.89     4.83       1/ 860      2.69%    0.80
   14     1    14000006     50.20    47.71         4200
               14000011      4.72     4.70       1/ 891      3.69%    0.79
   13     1    13000006     45.55    43.05         4200
               13000012      4.56     4.53       1/ 922      4.23%    0.78
   12     1    12000006     41.02    38.55         6000
               12000012      6.34     6.20       1/ 947      8.18%    0.77
   11     1    11000012     34.72    32.39         4500
               11000012      4.51     4.27       1/ 998      4.86%    0.73
   10     1    10000006     30.23    28.14         4500
               10000006      4.34     4.06       1/1037      4.80%    0.74
    9     1     9000006     25.91    24.10         4500
                9000012      4.16     3.87       1/1082      5.15%    0.74
    8     1     8000006     21.76    20.24         4500
                8000012      3.97     3.67       1/1134      8.46%    0.75
    7     1     7000012     17.80    16.58         9000
                7000006      7.30     6.73       1/1233     15.84%    0.72
    6     1     6000006     10.52     9.87         4500
                6000012      3.07     2.83       1/1464     14.55%    0.65
    5     1     5000012      7.45     7.04         4500
                5000012      2.61     2.42       1/1722     35.36%    0.66
    4     1     4000006      4.56     4.35        12500
                4000006      4.56     4.35       1/2742    100.00%    0.50
    3     1     3000209      0.00     0.00         6700
                3000209      0.00     0.00       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000148      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000143      0.00     0.00         3900
                1000143      0.00     0.00       1/9999      0.00%    1.00

  X向最大层间位移角：  1/709  (23层1塔)

  === 工况29 === Y 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   46     1    46000002    205.77   204.20         3700
               46000002      4.18     4.13       1/ 886      4.67%    1.00
   45     1    45000003    201.63   200.10         4550
               45000003      5.34     5.32       1/ 851      0.68%    0.81
   44     1    44000003    196.33   194.82         4200
               44000003      4.96     4.95       1/ 847      0.88%    0.86
   43     1    43000002    191.41   189.92         4200
               43000002      5.01     4.99       1/ 839      0.76%    0.86
   42     1    42000003    186.46   184.98         4200
               42000003      5.05     5.03       1/ 832      0.72%    0.85
   41     1    41000002    181.47   180.01         4200
               41000003      5.08     5.06       1/ 826      0.63%    0.85
   40     1    40000002    176.44   175.00         4200
               40000002      5.12     5.09       1/ 820      0.49%    0.84
   39     1    39000002    171.37   169.97         4200
               39000002      5.15     5.12       1/ 816      0.34%    0.84
   38     1    38000002    166.28   164.91         4200
               38000002      5.17     5.14       1/ 813      0.02%    0.84
   37     1    37000002    161.17   159.83         4200
               37000002      5.17     5.14       1/ 813      0.27%    0.84
   36     1    36000003    156.06   154.75         4200
               36000002      5.18     5.15       1/ 810      0.05%    0.84
   35     1    35000002    150.93   149.65         4200
               35000003      5.19     5.15       1/ 810      0.79%    0.83
   34     1    34000003    145.80   144.56         6000
               34000003      7.51     7.42       1/ 799      0.15%    0.84
   33     1    33000002    138.37   137.22         8400
               33000003     10.51    10.36       1/ 799      1.44%    0.84
   32     1    32000002    127.97   126.97         4200
               32000003      5.16     5.11       1/ 813      0.32%    0.82
   31     1    31000003    122.86   121.92         4200
               31000003      5.15     5.09       1/ 816      0.53%    0.82
   30     1    30000003    117.76   116.88         4200
               30000002      5.12     5.06       1/ 820      0.66%    0.82
   29     1    29000002    112.69   111.86         4200
               29000003      5.09     5.03       1/ 825      0.71%    0.82
   28     1    28000002    107.65   106.88         4200
               28000002      5.06     5.00       1/ 831      0.78%    0.82
   27     1    27000003    102.64   101.93         4200
               27000002      5.02     4.96       1/ 837      0.87%    0.82
   26     1    26000003     97.67    97.02         4200
               26000002      4.97     4.91       1/ 844      1.01%    0.82
   25     1    25000003     92.73    92.15         4200
               25000002      4.93     4.86       1/ 852      1.30%    0.82
   24     1    24000002     87.85    87.33         4200
               24000003      4.87     4.80       1/ 863      0.32%    0.81
   23     1    23000002     83.02    82.57         6000
               23000002      6.94     6.84       1/ 865      2.02%    0.82
   22     1    22000002     76.14    75.79         8400
               22000002      9.53     9.37       1/ 881      3.96%    0.81
   21     1    21000002     66.69    66.49         4200
               21000003      4.59     4.50       1/ 915      2.12%    0.79
   20     1    20000003     62.13    62.02         4200
               20000002      4.49     4.41       1/ 935      2.39%    0.79
   19     1    19000003     57.67    57.64         4200
               19000003      4.39     4.30       1/ 957      2.61%    0.79
   18     1    18000015     53.44    53.38         4200
               18000003      4.27     4.19       1/ 983      2.73%    0.79
   17     1    17000014     49.36    49.22         4200
               17000002      4.15     4.07       1/1012      2.94%    0.79
   16     1    16000015     45.38    45.17         4200
               16000003      4.02     3.96       1/1045      3.34%    0.79
   15     1    15000014     41.52    41.24         4200
               15000003      3.87     3.82       1/1085      3.58%    0.78
   14     1    14000014     37.77    37.44         4200
               14000002      3.71     3.69       1/1131      4.13%    0.78
   13     1    13000015     34.13    33.77         4200
               13000014      3.55     3.54       1/1183      4.34%    0.77
   12     1    12000015     30.60    30.25         6000
               12000014      4.93     4.83       1/1217      6.13%    0.77
   11     1    11000015     25.69    25.45         4500
               11000014      3.46     3.40       1/1300      5.33%    0.75
   10     1    10000014     22.25    22.06         4500
               10000014      3.26     3.22       1/1382      5.90%    0.74
    9     1     9000014     19.01    18.85         4500
                9000015      3.06     3.03       1/1473      6.92%    0.74
    8     1     8000014     15.96    15.83         4500
                8000015      2.84     2.82       1/1584      9.45%    0.73
    7     1     7000014     13.13    13.01         9000
                7000014      5.15     5.11       1/1746     13.85%    0.70
    6     1     6000014      7.99     7.91         4500
                6000014      2.21     2.20       1/2033     11.94%    0.66
    5     1     5000014      5.78     5.72         4500
                5000014      1.95     1.94       1/2306     34.02%    0.68
    4     1     4000015      3.60     3.55        12500
                4000134      3.60     3.55       1/3468     99.98%    0.51
    3     1     3000209      0.02     0.01         6700
                3000209      0.02     0.01       1/9999      0.00%    0.00
    2     1     2000022      0.00     0.00         3900
                2000150      0.00     0.00       1/9999      0.00%    1.00
    1     1     1000152      0.00     0.00         3900
                1000152      0.00     0.00       1/9999      0.00%    1.00

  Y向最大层间位移角：  1/799  (33层1塔)

  === 工况30 === Y 双向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   46     1    46000002    208.64   208.12         3700
               46000003      4.24     4.20       1/ 873      4.73%    1.00
   45     1    45000003    204.44   203.94         4550
               45000003      5.43     5.42       1/ 838      0.72%    0.81
   44     1    44000002    199.06   198.57         4200
               44000002      5.04     5.03       1/ 833      0.91%    0.86
   43     1    43000003    194.07   193.59         4200
               43000002      5.09     5.08       1/ 825      0.78%    0.86
   42     1    42000002    189.04   188.57         4200
               42000002      5.13     5.12       1/ 818      0.74%    0.85
   41     1    41000002    183.98   183.51         4200
               41000002      5.17     5.16       1/ 812      0.65%    0.85
   40     1    40000002    178.87   178.41         4200
               40000002      5.21     5.19       1/ 806      0.51%    0.85
   39     1    39000003    173.73   173.28         4200
               39000003      5.24     5.22       1/ 801      0.36%    0.84
   38     1    38000002    168.57   168.13         4200
               38000002      5.26     5.24       1/ 798      0.02%    0.84
   37     1    37000002    163.38   162.96         4200
               37000002      5.26     5.24       1/ 799      0.29%    0.84
   36     1    36000003    158.19   157.78         4200
               36000002      5.28     5.26       1/ 796      0.04%    0.84
   35     1    35000002    152.99   152.59         4200
               35000002      5.28     5.26       1/ 796      0.82%    0.83
   34     1    34000003    147.78   147.40         6000
               34000002      7.64     7.58       1/ 785      0.15%    0.84
   33     1    33000002    140.25   139.90         8400
               33000002     10.70    10.59       1/ 785      1.46%    0.84
   32     1    32000014    129.74   129.44         4200
               32000003      5.25     5.22       1/ 800      0.33%    0.82
   31     1    31000014    124.64   124.32         4200
               31000003      5.24     5.20       1/ 802      0.53%    0.82
   30     1    30000015    119.56   119.21         4200
               30000003      5.21     5.17       1/ 807      0.66%    0.82
   29     1    29000014    114.50   114.13         4200
               29000003      5.17     5.14       1/ 812      0.71%    0.82
   28     1    28000014    109.47   109.08         4200
               28000003      5.14     5.10       1/ 817      0.78%    0.82
   27     1    27000014    104.49   104.07         4200
               27000002      5.10     5.06       1/ 824      0.87%    0.82
   26     1    26000014     99.54    99.09         4200
               26000003      5.06     5.01       1/ 831      1.01%    0.82
   25     1    25000014     94.64    94.15         4200
               25000003      5.01     4.96       1/ 838      1.31%    0.82
   24     1    24000015     89.79    89.27         4200
               24000002      4.95     4.90       1/ 849      0.32%    0.81
   23     1    23000014     85.00    84.45         6000
