     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况27 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   46     1    46000006    237.68   224.02         3700
               46000006      3.26     3.13       1/1134      8.21%    1.00
   45     1    45000012    234.49   220.95         4550
               45000012      4.30     4.17       1/1058      4.62%    0.83
   44     1    44000006    230.32   216.88         4200
               44000012      4.15     4.02       1/1011      4.67%    0.91
   43     1    43000012    226.32   212.98         4200
               43000006      4.36     4.21       1/ 963      4.35%    0.92
   42     1    42000006    222.13   208.91         4200
               42000006      4.56     4.39       1/ 921      4.10%    0.91
   41     1    41000006    217.76   204.68         4200
               41000006      4.76     4.58       1/ 883      3.79%    0.91
   40     1    40000006    213.22   200.27         4200
               40000012      4.95     4.75       1/ 849      3.36%    0.90
   39     1    39000006    208.49   195.71         4200
               39000012      5.12     4.91       1/ 820      2.63%    0.89
   38     1    38000006    203.60   190.98         4200
               38000012      5.25     5.04       1/ 799      1.28%    0.88
   37     1    37000006    198.57   186.13         4200
               37000006      5.30     5.10       1/ 792      2.36%    0.87
   36     1    36000006    193.48   181.19         4200
               36000012      5.43     5.22       1/ 773      2.23%    0.87
   35     1    35000012    188.26   176.14         4200
               35000006      5.56     5.34       1/ 756      4.09%    0.87
   34     1    34000006    182.92   170.97         6000
               34000006      8.27     7.94       1/ 726      1.94%    0.89
   33     1    33000006    174.98   163.28         8400
               33000010     11.82    11.33       1/ 710      1.27%    0.88
   32     1    32000006    163.60   152.29         4200
               32000012      5.82     5.58       1/ 721      0.41%    0.84
   31     1    31000012    157.97   146.86         4200
               31000006      5.85     5.61       1/ 719      0.28%    0.83
   30     1    30000012    152.32   141.40         4200
               30000006      5.86     5.62       1/ 717      0.39%    0.83
   29     1    29000012    146.64   135.91         4200
               29000012      5.88     5.64       1/ 715      0.34%    0.84
   28     1    28000006    140.94   130.40         4200
               28000006      5.89     5.66       1/ 713      0.25%    0.84
   27     1    27000012    135.21   124.86         4200
               27000012      5.90     5.68       1/ 712      0.11%    0.84
   26     1    26000006    129.47   119.31         4200
               26000006      5.90     5.68       1/ 712      0.09%    0.84
   25     1    25000012    123.71   113.73         4200
               25000006      5.89     5.68       1/ 713      0.59%    0.83
   24     1    24000006    117.95   108.16         4200
               24000006      5.83     5.64       1/ 720      0.10%    0.83
   23     1    23000006    112.24   102.61         6000
               23000012      8.32     8.07       1/ 721      1.29%    0.83
   22     1    22000006    104.09    94.66         8400
               22000006     11.51    11.16       1/ 730      3.78%    0.82
   21     1    21000012     92.78    83.66         4200
               21000012      5.57     5.37       1/ 755      1.43%    0.80
   20     1    20000012     87.30    78.37         4200
               20000006      5.52     5.29       1/ 761      1.53%    0.80
   19     1    19000006     81.86    73.14         4200
               19000006      5.46     5.21       1/ 769      1.56%    0.80
   18     1    18000006     76.47    67.99         4200
               18000006      5.40     5.13       1/ 778      1.68%    0.81
   17     1    17000006     71.14    62.92         4200
               17000006      5.33     5.04       1/ 787      1.87%    0.81
   16     1    16000006     65.86    57.93         4200
               16000006      5.26     4.95       1/ 798      2.16%    0.80
   15     1    15000012     60.65    53.03         4200
               15000012      5.19     4.84       1/ 809      2.58%    0.80
   14     1    14000012     55.50    48.23         4200
               14000006      5.10     4.72       1/ 823      3.53%    0.79
   13     1    13000006     50.44    43.55         4200
               13000006      4.97     4.55       1/ 845      4.14%    0.78
   12     1    12000012     45.50    39.03         6000
               12000006      6.95     6.24       1/ 864      7.94%    0.77
   11     1    11000006     38.59    32.82         4500
               11000012      4.96     4.32       1/ 907      4.62%    0.74
